season,team,tournament_finish,finish_weight,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
2012,Baylor,Elite Eight,2,-0.6899002511909725,0.6651270819828298,-2.1397455304456603,-0.7973045602441342,0.6600181232811931,0.27868803078426363,1.1678374053504639,-0.9656516958570251
2012,Cincinnati,Sweet 16,1,-2.1946190175344698,1.3919956654705543,-0.005482469069638479,0.9177533932121241,-0.16454725774028559,0.41528847890382964,1.499901777180985,0.37011810685896146
2012,Florida,Elite Eight,2,0.3788110332837816,-3.697703351802011,1.358245014115886,0.526194515094466,-1.1909495824031076,0.5745810987048864,0.8848120443642508,-0.7074135573203042
2012,Indiana,Sweet 16,1,2.258049833031831,1.692184524244591,-1.5050631934185734,0.800784758638928,-0.7322422685332082,0.6209238108045656,1.9138871448148933,1.3517874306019624
2012,Kansas,Runner-up,4,-3.435931276571085,-0.2427710887537522,0.30713780987370193,0.04248210308791094,3.261410692656508e-4,-1.0643016726897918,-0.021902955882777565,0.9608477370305146
2012,Kentucky,Champion,5,1.1581032355817142,-1.6926298821861223,-2.0199413596312654,0.6950847432837048,-0.6899183770193461,-0.20524087696154839,-1.527427194956344,1.3075855313592966
2012,Louisville,Final Four,3,-2.651117746775409,0.4789773992672396,0.23569904452171875,-0.2545692745249218,1.149557287459368,-0.5918470430427616,-0.029329090096039397,0.9729723483131641
2012,Marquette,Sweet 16,1,-3.9727762034209695,-0.6058356821646047,0.8648444391332657,-0.7921936703738461,-0.346569184024123,1.0614352308230464,-0.2594400789353618,1.119630542823033
2012,Michigan State,Sweet 16,1,-1.0067728613308051,-0.007343604961327615,-0.255797822459519,0.05218805291006323,-1.1589388151347437,-0.6341742518230942,0.6939273995556405,-0.159435113227279
2012,NC State,Sweet 16,1,-2.550651890324832,-0.1732282768568695,-0.4561435655728256,-0.17883325970622008,-0.35046064219165657,-0.945643928445686,-0.4726552446128525,0.5365787694838176
2012,North Carolina,Elite Eight,2,-1.6542057040542095,-0.33034095808962705,0.3091086279175307,-1.1500249911969074,-1.089688898297493,0.22544878326893125,0.31133953404605635,1.5670752963469452
2012,Ohio,Sweet 16,1,-1.0883892079269433,1.2680167148077057,1.169548887222385,2.0567175143169156,1.4496497654765503,1.1587162690378663,0.12853323806006092,0.03893730557983685
2012,Ohio State,Final Four,3,-1.0014292165117662,-0.9185167157390624,-1.5323813414240677,-0.17065221154981275,0.35045305668873794,0.4065927102946151,0.5274687801921103,0.1959159352199564
2012,Syracuse,Elite Eight,2,0.918274308299953,0.8016919964306001,-1.8666457567213506,2.2573748850045896,1.5288427675842495,-1.1679283324496639,-0.2271127832710637,-0.010322888446086531
2012,Wisconsin,Sweet 16,1,2.1271889108181794,-0.46952171854020597,1.6555696259741528,0.049566493866992634,1.2054819428347536,-1.0843219315087753,1.405598105135042,-2.038633369735886
2012,Xavier,Sweet 16,1,-0.17784914397763663,0.6131043225392947,-1.3450268299873398,0.4127918011660004,-0.17720976868832639,-1.0957188557222732,-0.25239143762330685,0.8715844980586971
2013,Arizona,Sweet 16,1,1.7679555610105684,-2.4288267035594284,-1.140260225427515,1.1645226391015973,-1.222941130528981,0.39303359244773695,0.12739688355442078,-1.1184015025758853
2013,Duke,Elite Eight,2,-1.0825691636785448,-0.0756716473230441,-0.9091186003866043,1.6003938111946243,0.43335922494495005,0.6686977903197001,-1.7512531922563097,-1.2212243430625211
2013,Florida,Elite Eight,2,-1.017978565441343,-1.3324663967937909,-1.3496751652264165,-0.026880239674047367,0.6961469434465076,0.42816279643328214,0.7017569632521535,0.5256415158677814
2013,Florida Gulf Coast,Sweet 16,1,-1.2831521778154242,0.4136869298804868,-1.083297480329743,2.517997108644614,-0.9252748818214305,1.4078812857997547,0.7390272699567086,1.519173324822389
2013,Indiana,Sweet 16,1,-1.809165065924433,-0.6668772439875221,0.2131462012539334,1.030969333255509,-0.7313892215975739,-0.4685870205555209,0.6563923320407439,0.5969603160516344
2013,Kansas,Sweet 16,1,-1.5248674790520507,-0.9047999081794753,-0.8187226572423689,1.6671386302625053,-3.0916486307343582,0.5145234623792043,0.16538281588829612,2.2185528139509683
2013,La Salle,Sweet 16,1,1.7445702746851477,2.282560417336781,1.0092352137350602,2.402293442782596,0.6678274809204368,-0.15402330086768506,0.20239004260479218,0.4364144186009302
2013,Louisville,Champion,5,1.2613053524803048,-1.9912805367647317,-2.9564269826500746,0.0075746564148073126,2.3584414039170003,0.6151279015898252,0.6148029337979104,0.3687114783911083
2013,Marquette,Elite Eight,2,-3.2392280668489843,1.1818447472643736,-0.8680678671555853,0.22607398515026558,-0.32705067996242493,-2.0013343743604795,0.5780059312578408,-0.35799333064756766
2013,Miami (FL),Sweet 16,1,0.34152314547951645,0.048296670576684825,1.1854894715131366,0.021739904854874786,1.9947835851133369,-1.984343162881269,1.140397536471803,-0.4759846838870744
2013,Michigan,Runner-up,4,1.1756364518095457,-0.7372132360377912,0.5885795100889644,-0.48186645474232787,0.4144146634315887,-0.15545970640528722,0.8669779587541216,0.7943632795762035
2013,Michigan State,Sweet 16,1,-2.3025999713127634,-1.8437314411332872,-0.9715466485104569,0.008470526398684324,-2.197021931591556,-1.2729811354961291,1.1674067037096105,-0.20350861715205498
2013,Ohio State,Elite Eight,2,-0.5786249615960127,0.3128179053282891,-0.9760489728483323,-0.05394039723226207,1.2608341929351028,1.4653975484175144,-1.5010807226983727,0.141798474127109
2013,Oregon,Sweet 16,1,-2.003499292446639,-0.8378542609881131,-1.4318003109632058,-0.7033444552269036,-1.1070610625342463,1.2501510794796804,1.633899719549169,0.2908405591183544
2013,Syracuse,Final Four,3,-3.712194887585219,-3.4813787235783216,-0.5323172329806654,1.5221837823800366,1.6024303740249897,-0.01692945853705788,-0.5221000369397875,1.1225532894145847
2013,Wichita State,Final Four,3,-1.1409392571540655,-0.8363517917714964,-1.2365759424371705,0.9352783058883594,0.65099189182469,-0.22885142626859628,0.280278936117779,-1.3810444743412322
2014,Arizona,Elite Eight,2,0.11531306629731791,-0.847341859862376,-0.13062454215536626,1.0057765933884486,1.503474074869074,-0.7086302865682542,-0.8744433636744666,0.9135596472688999
2014,Baylor,Sweet 16,1,0.14947510341362477,-0.8784778665654196,-1.2062658901724581,0.3387870028469969,0.26383113277689096,-0.22053461809680475,-2.1168716474131126,-0.4254826033607207
2014,Connecticut,Champion,5,0.2716467210198854,-0.29380677932184807,-0.04113208115253253,0.5733418936872777,1.329987166575063,1.2266288800070329,-0.1612357559223268,-0.37937521720033085
2014,Dayton,Elite Eight,2,-1.7139835138609616,0.7544263975594239,0.22713261684705488,1.841261962682015,0.16042186543647002,0.002626863533876589,0.2947116907065124,-0.7849234466977254
2014,Florida,Final Four,3,-0.9389239590261553,-0.7725274466434446,0.40186560878998073,-0.9324907084645917,0.2744204178844466,-1.697944598830107,-0.1536724564760486,0.2375397039498361
2014,Iowa State,Sweet 16,1,3.125759396977116,1.2148646014381062,-0.8923124572652769,-1.314316160451431,-0.7197826406687575,-0.004782726123008972,0.18615980277375874,0.3322049497641044
2014,Kentucky,Runner-up,4,0.5089218720260245,1.1935495752263776,-1.9090020136436914,-0.20128536350845916,-0.24038576755815758,-2.346798672849463,0.4319775503350276,-0.17784921688750754
2014,Louisville,Sweet 16,1,-2.5182260830599317,-0.45539031737254543,-2.3384423917038597,0.8464407689594334,0.686299777686864,0.5056619007099725,0.6621436634630228,0.22459430417359294
2014,Michigan,Elite Eight,2,3.2381710703390207,0.24727147202153782,1.3124644254047548,2.0291859031376287,1.4096022687015712,-1.8697908682579174,0.9553707410830693,0.5572195437058671
2014,Michigan State,Elite Eight,2,0.3018845827543416,-0.4563451189366287,-0.6269867244756369,1.5029167464192104,-1.2716746415019813,0.9203096317088115,0.3120238483172807,-2.5024935755611986
2014,San Diego State,Sweet 16,1,-1.3693295563958836,-0.3718023544096586,-0.6991761037878045,0.4191432467774983,0.4993283705296897,-1.3966075418372663,-1.6657790761305422,-1.3463173890016815
2014,Stanford,Sweet 16,1,-3.4406726684090647,0.8021693096323793,-0.768681897746498,1.122961675135175,-0.8836433565637303,0.3645264480813063,-0.7521170352618158,-0.25334270655200974
2014,Tennessee,Sweet 16,1,2.6313707713616457,-1.0143098897680096,-1.3687459144730632,-1.6870269831239744,0.23832285786410795,-1.9242010730275383,-0.5839171037402064,0.002208683082773555
2014,UCLA,Sweet 16,1,-0.10310490930166663,0.01380419147377721,0.695841894975958,-0.8128277936205038,1.3171080119649463,-0.16312732510615643,-1.3718231238366025,1.0084848683878374
2014,Virginia,Sweet 16,1,0.9222297068806823,-0.8021905243335541,0.5054242316051615,0.3459549181721159,0.016854244638111082,0.12835683197512032,-2.054309450509709,-0.6581463852777767
2014,Wisconsin,Final Four,3,1.2931922322897635,-1.807603274265297,0.4214354615447777,0.3096143279804615,1.02117675493174,-0.4774870668272061,-0.5148316112331751,-1.205805004616235
2015,Arizona,Elite Eight,2,1.462004586799654,-0.4277971050179875,-3.185581296799211,-0.7654308744567663,0.6763437245036009,-0.17719694498196048,-0.7556208290206156,-1.1288885221876734
2015,Duke,Champion,5,0.7089942903365049,-2.71378286287496,0.6886481736874331,0.43484816508291,0.7557431163183173,-0.7280803320138461,-1.1577710795409724,1.5752783992331971
2015,Gonzaga,Elite Eight,2,1.1070399106084727,-0.16092508706979164,-0.12635097113994243,-1.246480861968345,-1.2053368022852222,-0.8540260170541482,-0.5611150437333378,0.18459077355738396
2015,Kentucky,Final Four,3,-1.0213213777829666,-2.454765659638226,-0.990358177232493,0.8739343565967502,0.9355874884185095,-1.3466832063491574,-1.3393605752855307,0.9726736474684554
2015,Louisville,Elite Eight,2,-0.8732901259569505,0.49352682247085833,0.06723673207290665,-0.5890471294019465,0.9595650501569295,-1.8379043377629807,-1.147015026103242,1.209526494432513
2015,Michigan State,Final Four,3,-1.4401187240251618,0.6993574306929486,0.0054478788286798085,1.8751346896099488,0.497148618241959,-0.5605500257870435,-1.3564981053271374,-2.046748240577614
2015,NC State,Sweet 16,1,-1.2020836524019882,1.7836503730516127,0.20915459685116666,-0.11685522503401519,-0.6108094117682453,-1.682293803240073,-1.1290736967567943,-1.5951729417133813
2015,North Carolina,Sweet 16,1,0.6850125300339027,1.2447099992557997,-2.924490185881223,1.4333821311836688,0.03906968146252804,-1.4485183025929749,0.015593233452308806,0.8565830438287012
2015,Notre Dame,Elite Eight,2,1.3307287949721354,0.8183133230772633,0.013288051572805736,1.6602856217589923,0.7894994645441473,-0.5227220687255886,-0.6266087110581432,0.8525786689756625
2015,Oklahoma,Sweet 16,1,0.042176863988225635,0.5399608174475209,0.029695032301074786,-0.1372897122803537,-0.054373143566988524,-2.5417640121613574,0.8000503891905469,-0.6943713684449926
2015,UCLA,Sweet 16,1,0.1757681576275519,0.8524855062669126,-0.45636722981845956,0.845007339187853,-1.346719318919181,-1.444644950197583,0.322466739009943,0.5950298361436858
2015,Utah,Sweet 16,1,-0.7828174318256762,-0.36236033934170503,-1.5330806276794777,2.6128858069040923,-0.18860403080258348,0.17547265921049265,0.6173175213769101,0.10927001930577926
2015,West Virginia,Sweet 16,1,-4.122808463218723,3.7993287425810407,-1.9562648508135045,0.34627581682079617,2.2118880876728175,-0.06201404140593014,1.320336638712451,-0.7460247434326012
2015,Wichita State,Sweet 16,1,-0.07479802911914932,1.722258269861433,-1.1275866766984477,-0.40989782113039713,1.117127573076038,0.010947368015400319,-1.199052309908666,0.1057308219712676
2015,Wisconsin,Runner-up,4,3.4002614565608162,0.6684514263792086,-0.42415246767220316,-0.3785037284251949,0.2914685687622211,-1.2072020575890412,-1.1672216888338114,-1.7958264404582729
2015,Xavier,Sweet 16,1,2.6514445937129336,-0.4575764433627411,-0.941676773458288,1.872408473327883,-1.2369728503131268,-0.5719212487520281,0.6653621286880465,-0.1558269141486311
2016,Duke,Sweet 16,1,1.85324034700307,1.8316671645127955,-0.05773751014329703,0.8414341222381271,-0.3683041118766194,0.14444602937418843,-1.381854335080913,-0.0809557623802909
2016,Gonzaga,Sweet 16,1,-0.7368481201953461,-2.262392787063762,0.9287588185145599,0.03946898692103147,-1.1770721557767625,0.1710913551791107,2.1017595132321376,0.8897353554642716
2016,Indiana,Sweet 16,1,3.0952809066146414,0.9375026170317131,-1.702555430345383,0.7299248542565262,0.5572464712275281,1.8825286639709797,0.6609816866880682,-0.3760261872000976
2016,Iowa State,Sweet 16,1,3.268089586465308,0.8606244552068466,0.6134636073727706,-0.12708893659102816,-0.16286045573802455,1.7983021701952249,-1.7873366973094882,-0.36519316214203734
2016,Kansas,Elite Eight,2,0.19698592600941586,-1.9234088820726307,-0.7924178864186044,-0.45089593456885796,-1.5287506590490678,0.5921662196912321,-0.4547655518524975,-0.4084848931493975
2016,Maryland,Sweet 16,1,0.07090513825637544,0.9689610175235829,0.665047159041428,2.345816660461156,-0.7407293873550755,1.4792780635385867,-1.5096792135748969,-0.8003215866307296
2016,Miami (FL),Sweet 16,1,2.0607769305015173,2.3379147133092815,-2.1245001064793714,2.7779587280430955,-1.1255845190546827,0.6156918456555897,0.40895131095676396,0.3140195743618212
2016,North Carolina,Runner-up,4,2.985578059338667,-0.6584177018960624,-2.523021474713459,-1.813417474962972,0.7432536265355663,-1.123498974823081,0.6602293864511719,0.059975668033733665
2016,Notre Dame,Elite Eight,2,3.58210850365473,2.2297694401241546,-0.35647805681495015,2.1226520601296204,-0.2274665964746019,-1.7662801911637616,1.185104544516739,1.0754345575346798
2016,Oklahoma,Final Four,3,0.5989486987338697,2.360596225944491,-0.6390898518306201,0.5563451366552902,0.19090291223225767,0.7978122918467224,1.8638707293957468,-0.35714231624680076
2016,Oregon,Elite Eight,2,0.5319004955757403,-1.0529274274293186,-0.01943062557642948,-0.7643037891338195,0.4772660437778652,0.23533760599960243,-0.5916429053079459,-0.5224914670800553
2016,Syracuse,Final Four,3,-0.8316735560388664,-0.22882511839526345,0.5559596681260549,0.0872760644492443,0.8776351142225035,-1.511775978549794,0.7948822876838182,0.7288799303086928
2016,Texas A&M,Sweet 16,1,-1.4152118725177303,-0.0032025803956012913,-1.1423232729110562,-2.1611356636442345,-1.6796530595736079,2.9757750762064266,0.6377024410483639,-0.44658952248888134
2016,Villanova,Champion,5,4.9766404359128815,-3.045871207799797,-0.3489476425300713,0.68698158825647615,1.4274446675142132,1.2512846852385997,0.9614570610174384,1.6843238800939435
2016,Virginia,Elite Eight,2,2.118715322414396,-1.663918748447466,0.6332732398023755,-0.2900028661544752,-0.5385267476739957,0.023878164128816638,-1.2700515581497542,-0.1409550860894662
2016,Wisconsin,Sweet 16,1,-3.714016690260483,0.44544349391359284,2.6283759017559687,-0.1852511263480642,-0.8583834828891082,-0.9085974803313395,1.0358851267957943,-0.7159202906818866
2017,Arizona,Sweet 16,1,2.317678008677855,0.4029870807965045,-0.7681121351422256,-1.7709464070066745,0.03715464074371738,-1.21200904059969,-0.8401812114255447,0.4219787820187121
2017,Baylor,Sweet 16,1,-0.1329793574176996,1.925873581453103,-1.7705146204713895,-1.5241537551073112,-0.6375819297255818,-0.5138428064889737,1.137095222050295,1.174424854372181
2017,Butler,Sweet 16,1,1.2901991145672418,0.9216135549777001,-0.3138631232691069,0.15006704373817364,-1.0227304974418727,2.037921890391047,-1.4607892057097314,-0.8009565898747588
2017,Florida,Elite Eight,2,-0.3664394839448949,-0.6333256926481952,-0.4018420625250322,0.6386011065317834,0.5908572035485457,1.1174783237559007,0.9530381548895025,-0.3018365117766625
2017,Gonzaga,Runner-up,4,-2.169725851195311,-1.4654111481939391,0.13747177427770274,0.9258868101609964,-1.024267131232172,0.3622706076329911,-0.8694902694074007,-0.13393511840314787
2017,Kansas,Elite Eight,2,2.7677720030045014,-2.218930601135712,0.4561605005500883,-1.9770228357340986,0.8835672835168487,1.1097876134550968,0.12280100951526254,0.3947822283047891
