championship_rank,season,team,championship_score,predicted_finish_score,sos_z_score,sos_adjustment,adjusted_finish_score,adjusted_finish_score_bounded
1,2025,Duke,100,3.213559863000323,0.6876851121270802,0.17192127803177004,3.385481141032093,3.385481141032093
2,2025,Auburn,98.50746268656717,2.670606467209825,1.933290006400107,0.48332250160002677,3.1539289688098515,3.1539289688098515
3,2025,Florida,97.01492537313433,2.764989177637477,1.0988556597511874,0.27471391493779684,3.039703092575274,3.039703092575274
4,2025,Houston,95.5223880597015,2.7276574448522535,1.0988556597511874,0.27471391493779684,3.0023713597900503,3.0023713597900503
5,2025,Gonzaga,94.02985074626865,2.824315452763429,0.294654441604039,0.07366361040100974,2.8979790631644384,2.8979790631644384
6,2025,Alabama,92.53731343283582,2.247232594720075,2.11670431931086,0.529176079827715,2.77640867454779,2.77640867454779
7,2025,Tennessee,91.04477611940298,2.457571206530269,1.2197881737582772,0.3049470434395693,2.762518249969838,2.762518249969838
8,2025,Maryland,89.55223880597015,2.649033276254934,0.3853538271093553,0.09633845677733882,2.7453717330322727,2.7453717330322727
9,2025,UC San Diego,88.05970149253731,2.9314229750433793,-0.8763754023646151,-0.21909385059115377,2.7123291244522254,2.7123291244522254
10,2025,Texas Tech,86.56716417910448,2.5683023507284246,0.4196180394113648,0.1049045098528412,2.6732068605812658,2.6732068605812658
11,2025,Michigan State,85.07462686567165,2.3550985494945342,0.9154413468404344,0.2288603367101086,2.583958886204643,2.583958886204643
12,2025,VCU,83.58208955223881,2.675999764948548,-0.45915822904015413,-0.11478955726003853,2.5612102076885095,2.5612102076885095
13,2025,Saint Mary's,82.08955223880596,2.477264914939849,0.1898462627978948,0.0474615656994737,2.524726480639323,2.524726480639323
14,2025,Kentucky,80.59701492537313,2.1189732328710704,1.5362282520768278,0.38405706301920695,2.5030302958902775,2.5030302958902775
15,2025,St. John's (NY),79.1044776119403,2.45858244985628,0.115271212493522,0.0288178031233805,2.4874002529796604,2.4874002529796604
16,2025,Arizona,77.61194029850746,2.2339178909276027,1.0081562742458687,0.2520390685614672,2.48595695948907,2.48595695948907
17,2025,Missouri,76.11940298507463,2.3540873061685232,0.5083018830165654,0.12707547075414136,2.4811627769226647,2.4811627769226647
18,2025,Iowa State,74.6268656716418,2.431667034057918,0.16565975999647725,0.04141493999911931,2.4730819740570373,2.4730819740570373
19,2025,Illinois,73.13432835820896,2.2574292982573483,0.8126487099344083,0.20316217748360207,2.46059147574095,2.46059147574095
20,2025,Louisville,71.64179104477611,2.2835530841792875,0.39946262041018316,0.09986565510254579,2.3834187392818333,2.3834187392818333
21,2025,Liberty,70.14925373134328,2.581364243689394,-0.7957537263598885,-0.19893843158997213,2.382425812099422,2.382425812099422
22,2025,Purdue,68.65671641791045,2.035377117920865,1.3850626095679663,0.3462656523919916,2.3816427703128564,2.3816427703128564
23,2025,Clemson,67.16417910447761,2.330575898838778,0.1273644638942319,0.031841115973557974,2.362417014812336,2.362417014812336
24,2025,BYU,65.67164179104478,2.32535114165439,0.04472724598938731,0.011181811497346827,2.3365329531517367,2.3365329531517367
25,2025,Wisconsin,64.17910447761194,2.2182436193744395,0.46799104501420213,0.11699776125355053,2.33524138062799,2.33524138062799
26,2025,McNeese,62.6865671641791,2.507663502194469,-0.690945547553742,-0.1727363868884355,2.3349271153060336,2.3349271153060336
27,2025,UCLA,61.19402985074627,2.225659403765184,0.3793072014090015,0.09482680035225037,2.3204862041174343,2.3204862041174343
28,2025,Utah State,59.701492537313435,2.3723739563138806,-0.23341753622692002,-0.058354384056730005,2.3140195722571506,2.3140195722571506
29,2025,Yale,58.208955223880594,2.449681011690286,-0.5619508659461804,-0.1404877164865451,2.309193295203741,2.309193295203741
30,2025,Michigan,56.71641791044776,1.9802643566532903,1.2076949223575675,0.30192373058939187,2.282188087242682,2.282188087242682
31,2025,New Mexico,55.223880597014926,2.3149016272856144,-0.14674923452183955,-0.03668730863045989,2.2782143186551544,2.2782143186551544
32,2025,Marquette,53.73134328358209,2.163383668938367,0.3752761176087656,0.0938190294021914,2.257202698340558,2.257202698340558
33,2025,High Point,52.23880597014925,2.526811631911227,-1.1867688549828117,-0.2966922137457029,2.2301194181655237,2.2301194181655237
34,2025,Drake,50.74626865671642,2.3784695063623333,-0.6123394134491357,-0.15308485336228392,2.2253846530000496,2.2253846530000496
35,2025,Kansas,49.25373134328358,1.983287872052272,0.92955014014126,0.232387535035315,2.215675407087587,2.215675407087587
36,2025,Baylor,47.76119402985075,2.013686459306891,0.7804000395325167,0.19510000988312917,2.20878646919002,2.20878646919002
37,2025,UConn,46.26865671641791,2.2339178909276027,-0.13868706692136556,-0.03467176673034139,2.1992461241972614,2.1992461241972614
38,2025,Ole Miss,44.776119402985074,1.8864715381658117,1.2197881737582772,0.3049470434395693,2.191418581605381,2.191418581605381
39,2025,Texas A&M,43.28358208955224,1.936106731417496,0.9839697714444512,0.2459924428611128,2.182099174278609,2.182099174278609
40,2025,Georgia,41.791044776119406,1.9256572170487205,0.7763689557322808,0.1940922389330702,2.1197494559817907,2.1197494559817907
41,2025,Oregon,40.298507462686565,1.8838591595736176,0.8973014697393707,0.2243253674348427,2.1081845270084605,2.1081845270084605
42,2025,Memphis,38.80597014925373,1.9937476010000972,0.45388225171337426,0.11347056292834357,2.1072181639284406,2.1072181639284406
43,2025,UNC,37.3134328358209,1.9121343161008935,0.762260162431453,0.19056504060786325,2.1026993567087566,2.1026993567087566
44,2025,Akron,35.82089552238806,2.26526643403393,-0.7131165084550439,-0.17827912711376098,2.086987306920169,2.086987306920169
45,2025,Colorado State,34.32835820895522,2.064113282434998,-0.0822518937180587,-0.020562973429514676,2.043550309005483,2.043550309005483
46,2025,Lipscomb,32.83582089552239,2.4063348780124016,-1.4770068885998267,-0.36925172214995666,2.037083155862445,2.037083155862445
47,2025,San Diego State,31.34328358208955,2.007860063416422,0.08100700019151474,0.020251750047878686,2.0281118134643004,2.0281118134643004
48,2025,Mississippi State,29.850746268656717,1.8718263854519963,0.6191566875230634,0.15478917188076585,2.026615557332762,2.026615557332762
49,2025,Creighton,28.35820895522388,1.9282695956409142,0.3813227433091194,0.09533068582727985,2.023600281468194,2.023600281468194
50,2025,Texas,26.865671641791046,1.9655553628204099,0.1596131342961212,0.0399032835740303,2.00545864639444,2.00545864639444
51,2025,Arkansas,25.37313432835821,1.8591603074292387,0.40550924611053696,0.10137731152763424,1.9605376189568728,1.9605376189568728
52,2025,Xavier,23.880597014925375,2.001416196222344,-0.17295127922337505,-0.043237819805843763,1.9581783764165002,1.9581783764165002
53,2025,UNC Wilmington,22.388059701492537,2.1948858813736467,-0.9590126202694585,-0.23975315506736464,1.955132726306282,1.955132726306282
54,2025,Grand Canyon,20.895522388059703,2.2526258924587976,-1.4971623076010083,-0.3742905769002521,1.8783353155585456,1.8783353155585456
55,2025,Vanderbilt,19.402985074626866,1.808100180399994,0.2684523969025035,0.06711309922562587,1.87521327962562,1.87521327962562
56,2025,Troy,17.91044776119403,2.109948652279855,-1.0033545420720589,-0.2508386355180147,1.8591100167618404,1.8591100167618404
57,2025,Oklahoma,16.417910447761194,1.7375659584107581,0.35108961480734807,0.08777240370183702,1.8253383621125951,1.8253383621125951
58,2025,Bryant,14.925373134328359,2.0846164962343385,-1.2532817376867105,-0.3133204344216776,1.771296061812661,1.771296061812661
59,2025,Wofford,13.432835820895523,1.8629601308360664,-0.5861373687475979,-0.14653434218689948,1.716425788649167,1.716425788649167
60,2025,Norfolk State,11.940298507462687,2.129422747239846,-1.88011526862346,-0.470028817155865,1.659393930083981,1.659393930083981
61,2025,Robert Morris,10.447761194029852,1.9391801179965484,-1.531426519903018,-0.3828566299757545,1.556323488020794,1.556323488020794
62,2025,Montana,8.955223880597014,1.7326485398842753,-1.110178262778321,-0.27754456569458025,1.455103974189695,1.455103974189695
63,2025,SIU Edwardsville,7.462686567164179,1.945289637983996,-1.9889545312298411,-0.4972386328074603,1.4480510051765356,1.4480510051765356
64,2025,Omaha,5.970149253731344,1.6564285527237943,-1.343981123192028,-0.335995280798007,1.3204332719257872,1.3204332719257872
65,2025,Mount St. Mary's,4.477611940298507,1.4110186343865183,-1.1424269331802115,-0.2856067332950529,1.1254119010914654,1.1254119010914654
66,2025,American,2.985074626865672,1.5187408339822788,-1.6523590339101077,-0.41308975847752694,1.1056510755047517,1.1056510755047517
