championship_rank,season,team,championship_score,predicted_finish_score,sos_z_score,sos_adjustment,adjusted_finish_score,adjusted_finish_score_bounded
1,2024,Houston,100,2.9280125599267994,0.9692459263007833,0.24231148157519583,3.170324041501995,3.170324041501995
2,2024,Arizona,98.50746268656717,2.8242741992185616,0.830084339824687,0.20752108495617175,3.0317952841747333,3.0317952841747333
3,2024,UConn,97.01492537313433,2.909316241599621,0.45300133130881365,0.11325033282720341,3.0225665744268246,3.0225665744268246
4,2024,Purdue,95.5223880597015,2.624147097557023,1.5685385648349432,0.3921346412087358,3.016281738765759,3.016281738765759
5,2024,Auburn,94.02985074626865,2.724258246758104,0.607874709806403,0.15196867745160075,2.8762269242097047,2.8762269242097047
6,2024,Gonzaga,92.53731343283582,2.8034983473993567,0.11632007370535347,0.029080018426338367,2.832578365825695,2.832578365825695
7,2024,Tennessee,91.04477611940298,2.5054615727840615,1.276748141578611,0.31918703539465276,2.8246486081787143,2.8246486081787143
8,2024,Alabama,89.55223880597015,2.324543323155331,1.8289054040482842,0.45722635101207104,2.781769674167402,2.781769674167402
9,2024,Saint Mary's,88.05970149253731,2.7504316789282597,0.031027488445809732,0.007756872111452433,2.758188551039712,2.758188551039712
10,2024,Iowa State,86.56716417910448,2.609580164368398,0.5338048331336426,0.13345120828341064,2.7430313726518083,2.7430313726518083
11,2024,Duke,85.07462686567165,2.5379817620674663,0.4597349564608821,0.11493373911522052,2.6529155011826866,2.6529155011826866
12,2024,McNeese,83.58208955223881,3.076426312985874,-1.721959592809538,-0.4304898982023845,2.6459364147834896,2.6459364147834896
13,2024,UNC,82.08955223880596,2.4036828968868265,0.8323288815420432,0.2080822203855108,2.6117651172723373,2.6117651172723373
14,2024,Illinois,80.59701492537313,2.3614470891932884,0.9512895925619341,0.23782239814048353,2.599269487333772,2.599269487333772
15,2024,BYU,79.1044776119403,2.5116280428037583,0.08040740622765005,0.020101851556912513,2.5317298943606708,2.5317298943606708
16,2024,Baylor,77.61194029850746,2.2790086452020297,0.9961804269090622,0.24904510672726554,2.528053751929295,2.528053751929295
17,2024,New Mexico,76.11940298507463,2.391350198508005,0.4911585405038707,0.12278963512596767,2.5141398336339726,2.5141398336339726
18,2024,Creighton,74.6268656716418,2.389208893666311,0.47095766504766284,0.11773941626191571,2.506948309928227,2.506948309928227
19,2024,San Diego State,73.13432835820896,2.138143333770004,1.3036826421868875,0.32592066054672186,2.4640639943167257,2.4640639943167257
20,2024,Marquette,71.64179104477611,2.232161476193329,0.7649926300213511,0.19124815750533777,2.423409633698667,2.423409633698667
21,2024,Dayton,70.14925373134328,2.1921587084204504,0.8211061729552624,0.2052765432388156,2.397435251659266,2.397435251659266
22,2024,Grand Canyon,68.65671641791045,2.5427037249002047,-0.6109114427181195,-0.15272786067952987,2.3899758642206748,2.3899758642206748
