championship_rank,season,team,championship_score,predicted_finish_score,sos_z_score,sos_adjustment,adjusted_finish_score,adjusted_finish_score_bounded
23,2024,Utah State,67.16417910447761,2.2930783763105698,0.2846607025070823,0.07116517562677058,2.3642435519373404,2.3642435519373404
24,2024,Kentucky,65.67164179104478,2.3165513891760674,0.15223274118305438,0.038058185295763595,2.354609574471831,2.354609574471831
25,2024,Colorado State,64.17910447761194,2.160812077092834,0.769481713456066,0.1923704283640165,2.3531825054568505,2.3531825054568505
26,2024,Drake,62.6865671641791,2.2655065304148145,0.30486157796329016,0.07621539449082254,2.341721924905637,2.341721924905637
27,2024,Boise State,61.19402985074627,2.1651418839854957,0.6707218778923828,0.1676804694730957,2.3328223534585915,2.3328223534585915
28,2024,Michigan State,59.701492537313435,2.055930681015505,0.971490468018142,0.2428726170045355,2.2988032980200406,2.2988032980200406
29,2024,Florida Atlantic,58.208955223880594,2.2576012178199414,0.10734190683592637,0.026835476708981593,2.284436694528923,2.284436694528923
30,2024,Nevada,56.71641791044776,2.2646931357403544,0.07142923935822545,0.017857309839556364,2.282550445579911,2.282550445579911
31,2024,Colorado,55.223880597014926,2.1341549480123128,0.4776912901997338,0.11942282254993344,2.2535777705622464,2.2535777705622464
32,2024,James Madison,53.73134328358209,2.734953339448303,-1.9531473896972464,-0.4882868474243116,2.2466664920239916,2.2466664920239916
33,2024,Kansas,52.23880597014925,1.9697044068215015,1.1016738876248113,0.27541847190620283,2.245122878727704,2.245122878727704
34,2024,Samford,50.74626865671642,2.470064901403268,-0.9520817837562932,-0.2380204459390733,2.2320444554641945,2.2320444554641945
35,2024,Yale,49.25373134328358,2.151565661170065,0.10734190683592637,0.026835476708981593,2.178401137879047,2.178401137879047
36,2024,Florida,47.76119402985075,2.040760093584257,0.5203375828295057,0.13008439570737643,2.170844489291633,2.170844489291633
37,2024,TCU,46.26865671641791,2.164588193919888,-0.018352429336030592,-0.004588107334007648,2.1600000865858804,2.1600000865858804
38,2024,Clemson,44.776119402985074,1.9236153256175024,0.9221105502362992,0.2305276375590748,2.154142963176577,2.154142963176577
39,2024,Morehead State,43.28358208955224,2.508692762038333,-1.4705709204656217,-0.3676427301164054,2.1410500319219272,2.1410500319219272
40,2024,Texas,41.791044776119406,1.9840339304573953,0.5046257908080101,0.12615644770200252,2.110190378159398,2.110190378159398
41,2024,Wisconsin,40.298507462686565,1.7934280038285808,1.2183900569273436,0.3045975142318359,2.0980255180604166,2.0980255180604166
42,2024,Nebraska,38.80597014925373,2.0588317196502692,0.1297873240094904,0.0324468310023726,2.0912785506526417,2.0912785506526417
43,2024,Mississippi State,37.3134328358209,1.8871568913311612,0.7807044220428467,0.19517610551071168,2.0823329968418727,2.0823329968418727
44,2024,Washington State,35.82089552238806,2.0501932837045214,0.10285282340121407,0.025713205850303518,2.075906489554825,2.075906489554825
45,2024,Texas Tech,34.32835820895522,2.0153895162340136,0.22854715957317354,0.057136789893293384,2.072526306127307,2.072526306127307
46,2024,Vermont,32.83582089552239,2.2224303217087344,-0.6580468187826036,-0.1645117046956509,2.0579186170130837,2.0579186170130837
47,2024,Duquesne,31.34328358208955,1.7890607329801682,0.7739707968907782,0.19349269922269455,1.9825534322028628,1.9825534322028628
48,2024,Akron,29.850746268656717,2.1383642612962923,-0.7725184463677823,-0.19312961159194558,1.9452346497043467,1.9452346497043467
49,2024,Northwestern,28.35820895522388,1.8461976766241748,0.24201440987731043,0.06050360246932761,1.9067012790935023,1.9067012790935023
50,2024,Texas A&M,26.865671641791046,1.7379467673643736,0.5764511257634144,0.1441127814408536,1.8820595488052272,1.8820595488052272
51,2024,College of Charleston,25.37313432835821,2.091585969203021,-0.9094354911265213,-0.22735887278163033,1.864227096421391,1.864227096421391
52,2024,South Carolina,23.880597014925375,1.9163455328007843,-0.269741101679947,-0.06743527541998676,1.8489102573807976,1.8489102573807976
53,2024,NC State,22.388059701492537,1.691373918505787,0.59216291778491,0.1480407294462275,1.8394146479520146,1.8394146479520146
54,2024,Virginia,20.895522388059703,1.7755705961542332,0.01756023814167033,0.004390059535417583,1.7799606556896508,1.7799606556896508
55,2024,Oregon,19.402985074626866,1.6770250715348818,0.3093506613980025,0.07733766534950062,1.7543627368843824,1.7543627368843824
56,2024,Longwood,17.91044776119403,2.0597438939255763,-1.4122128358143553,-0.3530532089535888,1.7066906849719876,1.7066906849719876
57,2024,Colgate,16.417910447761194,2.114582602906926,-1.6366670075499943,-0.40916675188749857,1.7054158510194275,1.7054158510194275
58,2024,South Dakota State,14.925373134328359,1.9112741711826842,-1.2842739579250397,-0.32106848948125993,1.5902056817014243,1.5902056817014243
59,2024,UAB,13.432835820895523,1.5350838734564325,0.20385720068225335,0.05096430017056334,1.5860481736269958,1.5860481736269958
60,2024,Oakland,11.940298507462687,1.7049851598769095,-0.6984485696950193,-0.17461214242375483,1.5303730174531547,1.5303730174531547
61,2024,Western Kentucky,10.447761194029852,1.8510455770049403,-1.5177062965301058,-0.37942657413252645,1.4716190028724139,1.4716190028724139
62,2024,Stetson,8.955223880597014,1.8163119214869068,-1.398745585510216,-0.349686396377554,1.4666255251093527,1.4666255251093527
63,2024,Saint Peter's,7.462686567164179,1.5514927665552094,-1.2954966665118217,-0.32387416662795543,1.227618599927254,1.227618599927254
64,2024,Long Beach State,5.970149253731344,1.5142216365599124,-1.2910075830771095,-0.3227518957692774,1.191469740790635,1.191469740790635
65,2024,Montana State,4.477611940298507,1.4857894029713858,-1.4054792106622858,-0.35136980266557144,1.1344196003058145,1.1344196003058145
66,2024,Wagner,2.985074626865672,1.5154732087667828,-2.3638985239734684,-0.5909746309933671,0.9244985777734157,1
67,2024,Grambling,1.492537313432836,1.2091114550965403,-1.463837295313552,-0.365959323828388,0.8431521312681522,1
68,2024,Howard,0,1.4091877363762872,-2.4245011503420906,-0.6061252875855226,0.8030624487907646,1
