championship_rank,season,team,championship_score,raw_finish_score,strength_of_schedule,sos_z_score,sos_adjustment,adjusted_finish_score
1,2026,Michigan,0,3.0309017443643502,0.6247,1.5354377673163502,0.38385944182908754,3.414761186193438
2,2026,Duke,1.492537313432836,3.0949987393715856,0.6066,1.2034774651833486,0.30086936629583716,3.395868105667423
3,2026,Arizona,2.985074626865672,2.930272783290815,0.6111,1.2860090320119946,0.32150225800299864,3.2517750412938136
4,2026,Gonzaga,4.477611940298507,3.052488815221709,0.5328,-0.15004023080645706,-0.037510057701614266,3.014978757520095
5,2026,Florida,5.970149253731344,2.759651896322075,0.5884,0.8696831282319332,0.2174207820579833,2.9770726783800585
6,2026,Saint Louis,7.462686567164179,2.9815835901748455,0.5358,-0.09501918625402586,-0.023754796563506465,2.957828793611339
7,2026,Iowa State,8.955223880597014,2.835563172868666,0.5647,0.43501687626772617,0.10875421906693154,2.9443173919355976
8,2026,Illinois,10.447761194029852,2.6527958955781483,0.5976,1.0384143315260552,0.2596035828815138,2.9123994784596623
9,2026,Houston,11.940298507462687,2.680526978910294,0.5813,0.7394666561245129,0.18486666403112822,2.8653936429414224
10,2026,Connecticut,13.432835820895523,2.547683465941931,0.5921,0.9375424165132636,0.2343856041283159,2.782069070070247
11,2026,High Point,14.925373134328359,3.1037507825789126,0.4594,-1.4962217875226071,-0.3740554468806518,2.7296953356982607
12,2026,Purdue,16.417910447761194,2.406869342195466,0.5999,1.080597132349585,0.2701492830873963,2.6770186252828623
13,2026,Louisville,17.91044776119403,2.4786048391983817,0.5756,0.634926671474893,0.15873166786872325,2.637336507067105
14,2026,Vanderbilt,19.402985074626866,2.397985432265708,0.5885,0.8715171630503474,0.21787929076258686,2.6158647230282948
15,2026,Saint Mary's,20.895522388059703,2.570598971928974,0.5504,0.1727498972344714,0.04318747430861785,2.613786446237592
16,2026,Virginia,22.388059701492537,2.4918891904952183,0.5595,0.33964706571017916,0.08491176642754479,2.5768009569227632
17,2026,Utah State,23.880597014925375,2.446722396085975,0.5684,0.5028761645490586,0.12571904113726465,2.57244143722324
18,2026,St. John's (NY),25.37313432835821,2.369673158564325,0.5844,0.7963217354953582,0.19908043387383956,2.5687535924381644
19,2026,Arkansas,26.865671641791046,2.2555107646071386,0.6047,1.1686308036334754,0.29215770090836884,2.5476684655155073
20,2026,Akron,28.35820895522388,2.7097525517633345,0.5047,-0.6654040147808957,-0.16635100369522393,2.5434015480681107
21,2026,Michigan State,29.850746268656717,2.2993491238866985,0.5935,0.963218903971066,0.2408047259927665,2.540153849879465
22,2026,Tennessee,31.34328358208955,2.260741477930268,0.5955,0.9998996003393535,0.2499749000848384,2.5107163780151067
23,2026,South Florida,32.83582089552239,2.41115461680735,0.5526,0.2130986632395872,0.0532746658098968,2.4644292826172465
24,2026,Miami (OH),34.32835820895522,2.726773126862405,0.4787,-1.1422530675686327,-0.28556326689215816,2.4412098599702468
25,2026,Nebraska,35.82089552238806,2.3459273806212306,0.5601,0.3506512746206662,0.08766281865516655,2.4335901992763973
26,2026,Alabama,37.3134328358209,2.0993366096737076,0.6098,1.2621665793726082,0.31554164484315206,2.41487825451686
