alpha,lambda_min,lambda_1se,cross_validated_mse,cross_validated_rmse
1,0.12376343042600545,0.26051015764272395,1.1595703305181704,1.0768334739030778
0.9,0.13751492269556156,0.28945573071413766,1.1611512871075063,1.077567300500301
0.8,0.15470428803250677,0.2967089415422811,1.163134401255077,1.078487089053493
0.7000000000000001,0.17680490060857917,0.33909593319117837,1.1657272960562801,1.079688518071893
0.6000000000000001,0.18794771395544446,0.3956119220563747,1.1692407884996727,1.0813143800485003
0.5,0.22553725674653344,0.4747343064676499,1.1741877758515886,1.0835994536043236
0.4,0.2568764355798726,0.5407002738795488,1.181386922720348,1.0869162445746903
0.2,0.20263471874817604,0.8977977329371432,1.1892092998081532,1.090508734402505
0.1,0.3065714672446831,1.1276862837326669,1.1894912510280438,1.0906380018264739
0.30000000000000004,0.28435110621004217,0.720933698506065,1.1895931163786786,1.0906847007172507
0,0.5612521207311595,3.2872653553008533,1.198971024970187,1.0949753535902929
