term,estimate,std.error,statistic,p.value
(Intercept),-5.749430990827184,3.2584760097047885,-1.764453988215206,0.077655575467704
team1_drb,0.3675215934360241,0.06510174386748825,5.645341762028652,1.6485343631796137e-8
team1_orb,0.22145172628904006,0.06572250364594308,3.3694961999931334,7.530572951290874e-4
team1_stl,-0.21519113542802892,0.11701402073201146,-1.8390200941890993,0.06591223059256043
team1_blk,0.06767804417129451,0.07908241740755963,0.8557912920454687,0.3921132327196605
team1_tov,-0.6068220419833557,0.08655513840427913,-7.010814761210704,2.3693426022927984e-12
team2_tov,0.714174268859028,0.1161797479483673,6.147149408315311,7.888781442709254e-10
team2_drb,-0.19691035480004868,0.07269070155275842,-2.7088795484678667,0.00675108444296981
team1_opponent_fg_pct,-20.204938907007293,5.165054158669756,-3.911854219978017,9.159019545278216e-5
team1_opponent_fg3_pct,-2.9730635453551026,1.925033151727658,-1.5444219974533269,0.12248613441424074
team1_points_allowed,-0.1699182439539956,0.03273661845501015,-5.190464133841857,2.0977052777463208e-7
team1_fg_pct,46.16775309506655,6.613249632616709,6.981099407977292,2.9287897594735836e-12
team1_ast,0.07681980430000623,0.059090585943301126,1.30003456682113,0.19358912210247292
