Model,Predictors,AIC,BIC,Selected
Full,12,250.93648602925924,309.51167881092624,FALSE
Reduced 1,10,281.9869992760569,331.55062393746744,FALSE
Reduced 2,7,284.403029554639,320.4493020356648,FALSE
