Team,SOS,Rank,Opp Record,Opp Win Percent
Alabama,0.6509,1,862-381,0.6935
Auburn,0.6418,2,873-411,0.6799
Kentucky,0.6221,3,777-407,0.6562
Purdue,0.6146,4,752-418,0.6427
Tennessee,0.6064,5,791-457,0.6338
Ole Miss,0.6064,6,758-426,0.6402
Michigan,0.6058,7,757-440,0.6324
Houston,0.6004,8,829-496,0.6257
Florida,0.6004,9,820-488,0.6269
Arizona,0.5959,10,757-456,0.6241
Texas A&M,0.5947,11,686-426,0.6169
Kansas,0.592,12,697-433,0.6168
Michigan State,0.5913,13,737-470,0.6106
Oregon,0.5904,14,685-437,0.6105
Illinois,0.5862,15,697-447,0.6093
Indiana,0.5847,16,620-404,0.6055
Baylor,0.5846,17,686-440,0.6092
Georgia,0.5844,18,661-414,0.6149
North Carolina,0.5837,19,731-462,0.6127
South Carolina,0.5835,20,632-408,0.6077
Arizona State,0.5803,21,656-433,0.6024
Duke,0.58,22,764-505,0.602
Mississippi State,0.5766,23,658-450,0.5939
Missouri,0.5711,24,660-447,0.5962
Ohio State,0.5709,25,604-433,0.5824
USC,0.5694,26,657-459,0.5887
Wisconsin,0.5691,27,690-499,0.5803
Memphis,0.5684,28,656-445,0.5958
West Virginia,0.5682,29,619-434,0.5878
Texas Tech,0.5667,30,707-498,0.5867
Minnesota,0.5665,31,598-418,0.5886
Arkansas,0.566,32,680-491,0.5807
Nebraska,0.5657,33,653-466,0.5836
Louisville,0.5657,34,653-463,0.5851
Maryland,0.565,35,678-483,0.584
Creighton,0.5648,36,669-477,0.5838
UCLA,0.5647,37,638-457,0.5826
Marquette,0.5645,38,640-450,0.5872
Rutgers,0.5639,39,585-432,0.5752
TCU,0.5636,40,606-443,0.5777
Oklahoma,0.5633,41,642-473,0.5758
Gonzaga,0.5605,42,633-458,0.5802
Vanderbilt,0.5592,43,615-454,0.5753
Northwestern,0.5589,44,603-458,0.5683
Virginia,0.5556,45,603-432,0.5826
Saint Mary's (CA),0.5553,46,617-457,0.5745
UCF,0.5551,47,673-518,0.5651
Colorado,0.5545,48,640-487,0.5679
Washington,0.5545,49,546-421,0.5646
Iowa State,0.5541,50,646-495,0.5662
Texas,0.5538,51,636-487,0.5663
Saint Louis,0.5526,52,581-431,0.5741
Clemson,0.5522,53,615-464,0.57
St. John's (NY),0.5516,54,641-498,0.5628
Butler,0.5507,55,638-483,0.5691
LSU,0.5502,56,587-460,0.5606
San Diego State,0.5499,57,547-414,0.5692
BYU,0.5481,58,654-518,0.558
Kansas State,0.5476,59,596-469,0.5596
Iowa,0.5465,60,586-470,0.5549
Dayton,0.5457,61,584-455,0.5621
Stanford,0.5427,62,620-484,0.5616
Colorado State,0.5418,63,615-494,0.5546
Syracuse,0.5411,64,587-466,0.5575
Providence,0.541,65,563-452,0.5547
Cincinnati,0.5404,66,622-509,0.55
Duquesne,0.5396,67,537-424,0.5588
Richmond,0.5395,68,522-408,0.5613
Connecticut,0.539,69,620-506,0.5506
Middle Tennessee,0.5387,70,527-420,0.5565
New Mexico,0.5386,71,585-472,0.5535
San Francisco,0.5382,72,593-471,0.5573
Boise State,0.538,73,609-499,0.5496
Xavier,0.5373,74,593-491,0.547
Miami (FL),0.5372,75,552-443,0.5548
George Mason,0.5358,76,595-474,0.5566
Pittsburgh,0.5357,77,552-465,0.5428
Oklahoma State,0.5356,78,615-520,0.5419
Northern Iowa,0.5348,79,545-432,0.5578
Utah State,0.5343,80,561-465,0.5468
Penn State,0.5343,81,525-449,0.539
Southern Illinois,0.5328,82,520-418,0.5544
Saint Joseph's,0.5323,83,589-485,0.5484
Florida Atlantic,0.5318,84,562-462,0.5488
Bradley,0.5313,85,591-490,0.5467
UAB,0.5311,86,612-495,0.5528
Kennesaw State,0.5297,87,478-403,0.5426
UNLV,0.529,88,553-476,0.5374
Santa Clara,0.5285,89,568-487,0.5384
Wake Forest,0.5283,90,553-472,0.5395
UC Irvine,0.5272,91,627-520,0.5466
Utah,0.5271,92,567-503,0.5299
Seton Hall,0.5268,93,543-475,0.5334
North Texas,0.5264,94,570-477,0.5444
Jacksonville State,0.5248,95,515-446,0.5359
Florida State,0.5242,96,538-470,0.5337
La Salle,0.5237,97,525-454,0.5363
VCU,0.5231,98,560-491,0.5328
SMU,0.5227,99,582-522,0.5272
Notre Dame,0.5226,100,553-490,0.5302
Loyola-Chicago,0.5222,101,586-524,0.5279
Kent State,0.5221,102,561-465,0.5468
