team,href,team_url,gamelog_url
Akron,/cbb/schools/akron/men/2024.html,https://www.sports-reference.com/cbb/schools/akron/men/2024.html,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html
Alabama,/cbb/schools/alabama/men/2024.html,https://www.sports-reference.com/cbb/schools/alabama/men/2024.html,https://www.sports-reference.com/cbb/schools/alabama/men/2024-gamelogs.html
Arizona,/cbb/schools/arizona/men/2024.html,https://www.sports-reference.com/cbb/schools/arizona/men/2024.html,https://www.sports-reference.com/cbb/schools/arizona/men/2024-gamelogs.html
Auburn,/cbb/schools/auburn/men/2024.html,https://www.sports-reference.com/cbb/schools/auburn/men/2024.html,https://www.sports-reference.com/cbb/schools/auburn/men/2024-gamelogs.html
BYU,/cbb/schools/brigham-young/men/2024.html,https://www.sports-reference.com/cbb/schools/brigham-young/men/2024.html,https://www.sports-reference.com/cbb/schools/brigham-young/men/2024-gamelogs.html
Baylor,/cbb/schools/baylor/men/2024.html,https://www.sports-reference.com/cbb/schools/baylor/men/2024.html,https://www.sports-reference.com/cbb/schools/baylor/men/2024-gamelogs.html
Boise State,/cbb/schools/boise-state/men/2024.html,https://www.sports-reference.com/cbb/schools/boise-state/men/2024.html,https://www.sports-reference.com/cbb/schools/boise-state/men/2024-gamelogs.html
Clemson,/cbb/schools/clemson/men/2024.html,https://www.sports-reference.com/cbb/schools/clemson/men/2024.html,https://www.sports-reference.com/cbb/schools/clemson/men/2024-gamelogs.html
Colgate,/cbb/schools/colgate/men/2024.html,https://www.sports-reference.com/cbb/schools/colgate/men/2024.html,https://www.sports-reference.com/cbb/schools/colgate/men/2024-gamelogs.html
College of Charleston,/cbb/schools/college-of-charleston/men/2024.html,https://www.sports-reference.com/cbb/schools/college-of-charleston/men/2024.html,https://www.sports-reference.com/cbb/schools/college-of-charleston/men/2024-gamelogs.html
Colorado,/cbb/schools/colorado/men/2024.html,https://www.sports-reference.com/cbb/schools/colorado/men/2024.html,https://www.sports-reference.com/cbb/schools/colorado/men/2024-gamelogs.html
Colorado State,/cbb/schools/colorado-state/men/2024.html,https://www.sports-reference.com/cbb/schools/colorado-state/men/2024.html,https://www.sports-reference.com/cbb/schools/colorado-state/men/2024-gamelogs.html
Creighton,/cbb/schools/creighton/men/2024.html,https://www.sports-reference.com/cbb/schools/creighton/men/2024.html,https://www.sports-reference.com/cbb/schools/creighton/men/2024-gamelogs.html
Dayton,/cbb/schools/dayton/men/2024.html,https://www.sports-reference.com/cbb/schools/dayton/men/2024.html,https://www.sports-reference.com/cbb/schools/dayton/men/2024-gamelogs.html
Drake,/cbb/schools/drake/men/2024.html,https://www.sports-reference.com/cbb/schools/drake/men/2024.html,https://www.sports-reference.com/cbb/schools/drake/men/2024-gamelogs.html
Duke,/cbb/schools/duke/men/2024.html,https://www.sports-reference.com/cbb/schools/duke/men/2024.html,https://www.sports-reference.com/cbb/schools/duke/men/2024-gamelogs.html
Duquesne,/cbb/schools/duquesne/men/2024.html,https://www.sports-reference.com/cbb/schools/duquesne/men/2024.html,https://www.sports-reference.com/cbb/schools/duquesne/men/2024-gamelogs.html
Florida,/cbb/schools/florida/men/2024.html,https://www.sports-reference.com/cbb/schools/florida/men/2024.html,https://www.sports-reference.com/cbb/schools/florida/men/2024-gamelogs.html
