Team,SOS,Rank,Opp Record,Opp Win Percent
UIC,0.5119,130,507-469,0.5195
Arkansas State,0.5117,131,591-524,0.53
Texas State,0.5113,132,518-459,0.5302
Vermont,0.5106,133,498-451,0.5248
Dartmouth,0.5098,134,360-332,0.5202
Furman,0.5094,135,445-411,0.5199
Oakland,0.5088,136,574-523,0.5232
Illinois State,0.5082,137,486-458,0.5148
Temple,0.5082,138,540-511,0.5138
Portland,0.508,139,481-443,0.5206
Utah Valley,0.5078,140,460-427,0.5186
Santa Clara,0.5077,141,498-471,0.5139
Evansville,0.5077,142,531-495,0.5175
East Carolina,0.5068,143,495-469,0.5135
Missouri State,0.5062,144,513-491,0.511
Akron,0.5055,145,510-470,0.5204
Wofford,0.5054,146,436-410,0.5154
New Mexico State,0.5053,147,421-400,0.5128
Marshall,0.5037,148,497-457,0.521
Kent State,0.5029,149,497-460,0.5193
Seattle University,0.5028,150,556-521,0.5162
Towson,0.5027,151,511-480,0.5156
Princeton,0.5013,152,381-375,0.504
Air Force,0.5013,153,463-465,0.4989
Toledo,0.5009,154,494-471,0.5119
Louisiana Tech,0.5009,155,432-414,0.5106
George Washington,0.5006,156,477-467,0.5053
Louisiana,0.4997,157,468-446,0.512
Middle Tennessee,0.4994,158,449-441,0.5045
Charleston,0.4994,159,517-506,0.5054
Southern Illinois,0.4993,160,472-474,0.4989
La Salle,0.499,161,489-495,0.497
Loyola-Marymount,0.4982,162,455-451,0.5022
Charleston Southern,0.4982,163,414-387,0.5169
Cornell,0.4979,164,387-393,0.4962
Liberty,0.4979,165,429-417,0.5071
Stony Brook,0.4977,166,517-506,0.5054
Northern Illinois,0.4976,167,450-431,0.5108
Samford,0.4975,168,484-479,0.5026
UC Irvine,0.4959,169,497-495,0.501
Tarleton State,0.4959,170,484-474,0.5052
Mercer,0.4952,171,434-430,0.5023
Northeastern,0.4951,172,484-480,0.5021
UTEP,0.4951,173,447-446,0.5006
East Tennessee State,0.4949,174,474-467,0.5037
Southern Utah,0.4946,175,438-439,0.4994
Pepperdine,0.4941,176,470-466,0.5021
New Hampshire,0.4939,177,440-425,0.5087
Old Dominion,0.4934,178,468-462,0.5032
UNC Asheville,0.4925,179,443-431,0.5069
Harvard,0.4923,180,361-369,0.4945
UNCW,0.4915,181,421-426,0.497
VMI,0.4911,182,423-421,0.5012
San Diego,0.4909,183,459-466,0.4962
Bryant,0.4907,184,448-460,0.4934
Queens,0.4903,185,461-445,0.5088
UC Riverside,0.4891,186,475-479,0.4979
Utah Tech,0.4891,187,447-449,0.4989
UTRGV,0.489,188,430-435,0.4971
ULM,0.4886,189,417-420,0.4982
Buffalo,0.4881,190,448-449,0.4994
Canisius,0.4875,191,467-467,0.5
Western Carolina,0.4873,192,408-425,0.4898
Cal State Fullerton,0.4872,193,437-456,0.4894
San Francisco,0.4872,194,483-517,0.483
Abilene Christian,0.4869,195,482-504,0.4888
Sam Houston State,0.4862,196,436-463,0.485
Stephen F. Austin,0.4861,197,446-466,0.489
Manhattan,0.4861,198,442-442,0.5
Southern Miss,0.4859,199,438-458,0.4888
Monmouth,0.4858,200,477-503,0.4867
Wright State,0.4852,201,440-457,0.4905
Detroit,0.485,202,479-487,0.4959
UNCG,0.4847,203,422-453,0.4823
Troy,0.4843,204,413-445,0.4814
Weber State,0.4838,205,418-439,0.4877
The Citadel,0.4834,206,412-436,0.4858
South Dakota State,0.4827,207,451-461,0.4945
Chattanooga,0.4827,208,431-461,0.4832
Long Beach State,0.4824,209,482-528,0.4772
Drexel,0.4823,210,449-489,0.4787
Saint Peter's,0.4822,211,475-490,0.4922
Rider,0.482,212,462-484,0.4884
Cleveland State,0.4816,213,510-533,0.489
Albany,0.4816,214,436-454,0.4899
NJIT,0.4813,215,385-406,0.4867
Appalachian State,0.4808,216,463-500,0.4808
UTSA,0.4807,217,448-484,0.4807
UC Davis,0.4806,218,444-474,0.4837
Siena,0.48,219,469-488,0.4901
Georgia State,0.4797,220,423-447,0.4862
Northern Kentucky,0.4796,221,446-475,0.4843
California Baptist,0.4795,222,442-475,0.482
Sacramento State,0.4795,223,451-479,0.4849
Pacific,0.4791,224,428-467,0.4782
North Carolina A&T,0.479,225,467-485,0.4905
Montana,0.479,226,466-498,0.4834
Iona,0.4786,227,489-505,0.492
Chicago State,0.4784,228,422-459,0.479
Hawaii,0.4783,229,456-494,0.48
Maine,0.4781,230,430-459,0.4837
Stetson,0.4776,231,454-477,0.4876
Montana State,0.4773,232,450-490,0.4787
Miami (OH),0.4771,233,427-463,0.4798
Longwood,0.477,234,447-460,0.4928
UC Santa Barbara,0.4759,235,414-449,0.4797
UMass-Lowell,0.4758,236,395-430,0.4788
Coastal Carolina,0.4756,237,410-449,0.4773
Tulsa,0.4754,238,425-481,0.4691
Milwaukee,0.4753,239,470-510,0.4796
Binghamton,0.4751,240,392-422,0.4816
Fairfield,0.475,241,513-554,0.4808
Grambling State,0.4747,242,484-501,0.4914
Morehead State,0.4744,243,432-452,0.4887
Austin Peay,0.4743,244,444-478,0.4816
Eastern Kentucky,0.4742,245,392-418,0.484
Western Michigan,0.474,246,435-478,0.4765
Robert Morris,0.4738,247,428-470,0.4766
Bellarmine,0.4737,248,396-437,0.4754
FIU,0.4737,249,431-483,0.4716
North Dakota State,0.4733,250,401-430,0.4826
South Carolina Upstate,0.4728,251,370-406,0.4768
Cal Poly,0.4726,252,429-478,0.473
UC San Diego,0.4726,253,436-489,0.4714
Winthrop,0.4724,254,407-450,0.4749
Western Kentucky,0.4723,255,413-477,0.464
High Point,0.4723,256,466-521,0.4721
Green Bay,0.4719,257,427-473,0.4744
Georgia Southern,0.471,258,457-513,0.4711
Oral Roberts,0.4704,259,384-423,0.4758
Cal State Bakersfield,0.4695,260,414-474,0.4662
Columbia,0.4691,261,304-362,0.4565
Ohio,0.4688,262,437-510,0.4615
Northern Colorado,0.4684,263,430-486,0.4694
Delaware,0.4681,264,441-517,0.4603
Radford,0.4679,265,429-476,0.474
Northern Arizona,0.4678,266,466-513,0.476
Eastern Washington,0.4672,267,414-486,0.46
Florida A&M,0.4672,268,394-435,0.4753
Colgate,0.467,269,475-523,0.476
FGCU,0.4663,270,398-456,0.466
South Alabama,0.4657,271,399-473,0.4576
Youngstown State,0.4642,272,389-453,0.462
Central Michigan,0.4638,273,419-502,0.4549
Bowling Green,0.4637,274,436-502,0.4648
Southern Indiana,0.4635,275,401-439,0.4774
