team,href,team_url,gamelog_url
Alabama,/cbb/schools/alabama/men/2023.html,https://www.sports-reference.com/cbb/schools/alabama/men/2023.html,https://www.sports-reference.com/cbb/schools/alabama/men/2023-gamelogs.html
Arizona,/cbb/schools/arizona/men/2023.html,https://www.sports-reference.com/cbb/schools/arizona/men/2023.html,https://www.sports-reference.com/cbb/schools/arizona/men/2023-gamelogs.html
Arizona State,/cbb/schools/arizona-state/men/2023.html,https://www.sports-reference.com/cbb/schools/arizona-state/men/2023.html,https://www.sports-reference.com/cbb/schools/arizona-state/men/2023-gamelogs.html
Arkansas,/cbb/schools/arkansas/men/2023.html,https://www.sports-reference.com/cbb/schools/arkansas/men/2023.html,https://www.sports-reference.com/cbb/schools/arkansas/men/2023-gamelogs.html
Auburn,/cbb/schools/auburn/men/2023.html,https://www.sports-reference.com/cbb/schools/auburn/men/2023.html,https://www.sports-reference.com/cbb/schools/auburn/men/2023-gamelogs.html
Baylor,/cbb/schools/baylor/men/2023.html,https://www.sports-reference.com/cbb/schools/baylor/men/2023.html,https://www.sports-reference.com/cbb/schools/baylor/men/2023-gamelogs.html
Boise State,/cbb/schools/boise-state/men/2023.html,https://www.sports-reference.com/cbb/schools/boise-state/men/2023.html,https://www.sports-reference.com/cbb/schools/boise-state/men/2023-gamelogs.html
Colgate,/cbb/schools/colgate/men/2023.html,https://www.sports-reference.com/cbb/schools/colgate/men/2023.html,https://www.sports-reference.com/cbb/schools/colgate/men/2023-gamelogs.html
College of Charleston,/cbb/schools/college-of-charleston/men/2023.html,https://www.sports-reference.com/cbb/schools/college-of-charleston/men/2023.html,https://www.sports-reference.com/cbb/schools/college-of-charleston/men/2023-gamelogs.html
Creighton,/cbb/schools/creighton/men/2023.html,https://www.sports-reference.com/cbb/schools/creighton/men/2023.html,https://www.sports-reference.com/cbb/schools/creighton/men/2023-gamelogs.html
Drake,/cbb/schools/drake/men/2023.html,https://www.sports-reference.com/cbb/schools/drake/men/2023.html,https://www.sports-reference.com/cbb/schools/drake/men/2023-gamelogs.html
Duke,/cbb/schools/duke/men/2023.html,https://www.sports-reference.com/cbb/schools/duke/men/2023.html,https://www.sports-reference.com/cbb/schools/duke/men/2023-gamelogs.html
FDU,/cbb/schools/fairleigh-dickinson/men/2023.html,https://www.sports-reference.com/cbb/schools/fairleigh-dickinson/men/2023.html,https://www.sports-reference.com/cbb/schools/fairleigh-dickinson/men/2023-gamelogs.html
Florida Atlantic,/cbb/schools/florida-atlantic/men/2023.html,https://www.sports-reference.com/cbb/schools/florida-atlantic/men/2023.html,https://www.sports-reference.com/cbb/schools/florida-atlantic/men/2023-gamelogs.html
Furman,/cbb/schools/furman/men/2023.html,https://www.sports-reference.com/cbb/schools/furman/men/2023.html,https://www.sports-reference.com/cbb/schools/furman/men/2023-gamelogs.html
Gonzaga,/cbb/schools/gonzaga/men/2023.html,https://www.sports-reference.com/cbb/schools/gonzaga/men/2023.html,https://www.sports-reference.com/cbb/schools/gonzaga/men/2023-gamelogs.html
Grand Canyon,/cbb/schools/grand-canyon/men/2023.html,https://www.sports-reference.com/cbb/schools/grand-canyon/men/2023.html,https://www.sports-reference.com/cbb/schools/grand-canyon/men/2023-gamelogs.html
Houston,/cbb/schools/houston/men/2023.html,https://www.sports-reference.com/cbb/schools/houston/men/2023.html,https://www.sports-reference.com/cbb/schools/houston/men/2023-gamelogs.html
Howard,/cbb/schools/howard/men/2023.html,https://www.sports-reference.com/cbb/schools/howard/men/2023.html,https://www.sports-reference.com/cbb/schools/howard/men/2023-gamelogs.html
Illinois,/cbb/schools/illinois/men/2023.html,https://www.sports-reference.com/cbb/schools/illinois/men/2023.html,https://www.sports-reference.com/cbb/schools/illinois/men/2023-gamelogs.html
Indiana,/cbb/schools/indiana/men/2023.html,https://www.sports-reference.com/cbb/schools/indiana/men/2023.html,https://www.sports-reference.com/cbb/schools/indiana/men/2023-gamelogs.html
Iona,/cbb/schools/iona/men/2023.html,https://www.sports-reference.com/cbb/schools/iona/men/2023.html,https://www.sports-reference.com/cbb/schools/iona/men/2023-gamelogs.html
Iowa,/cbb/schools/iowa/men/2023.html,https://www.sports-reference.com/cbb/schools/iowa/men/2023.html,https://www.sports-reference.com/cbb/schools/iowa/men/2023-gamelogs.html
Iowa State,/cbb/schools/iowa-state/men/2023.html,https://www.sports-reference.com/cbb/schools/iowa-state/men/2023.html,https://www.sports-reference.com/cbb/schools/iowa-state/men/2023-gamelogs.html
Kansas,/cbb/schools/kansas/men/2023.html,https://www.sports-reference.com/cbb/schools/kansas/men/2023.html,https://www.sports-reference.com/cbb/schools/kansas/men/2023-gamelogs.html
Kansas State,/cbb/schools/kansas-state/men/2023.html,https://www.sports-reference.com/cbb/schools/kansas-state/men/2023.html,https://www.sports-reference.com/cbb/schools/kansas-state/men/2023-gamelogs.html
Kennesaw State,/cbb/schools/kennesaw-state/men/2023.html,https://www.sports-reference.com/cbb/schools/kennesaw-state/men/2023.html,https://www.sports-reference.com/cbb/schools/kennesaw-state/men/2023-gamelogs.html
Kent State,/cbb/schools/kent-state/men/2023.html,https://www.sports-reference.com/cbb/schools/kent-state/men/2023.html,https://www.sports-reference.com/cbb/schools/kent-state/men/2023-gamelogs.html
Kentucky,/cbb/schools/kentucky/men/2023.html,https://www.sports-reference.com/cbb/schools/kentucky/men/2023.html,https://www.sports-reference.com/cbb/schools/kentucky/men/2023-gamelogs.html
Louisiana,/cbb/schools/louisiana-lafayette/men/2023.html,https://www.sports-reference.com/cbb/schools/louisiana-lafayette/men/2023.html,https://www.sports-reference.com/cbb/schools/louisiana-lafayette/men/2023-gamelogs.html
Marquette,/cbb/schools/marquette/men/2023.html,https://www.sports-reference.com/cbb/schools/marquette/men/2023.html,https://www.sports-reference.com/cbb/schools/marquette/men/2023-gamelogs.html
Maryland,/cbb/schools/maryland/men/2023.html,https://www.sports-reference.com/cbb/schools/maryland/men/2023.html,https://www.sports-reference.com/cbb/schools/maryland/men/2023-gamelogs.html
Memphis,/cbb/schools/memphis/men/2023.html,https://www.sports-reference.com/cbb/schools/memphis/men/2023.html,https://www.sports-reference.com/cbb/schools/memphis/men/2023-gamelogs.html
Miami (FL),/cbb/schools/miami-fl/men/2023.html,https://www.sports-reference.com/cbb/schools/miami-fl/men/2023.html,https://www.sports-reference.com/cbb/schools/miami-fl/men/2023-gamelogs.html
Michigan State,/cbb/schools/michigan-state/men/2023.html,https://www.sports-reference.com/cbb/schools/michigan-state/men/2023.html,https://www.sports-reference.com/cbb/schools/michigan-state/men/2023-gamelogs.html
Mississippi State,/cbb/schools/mississippi-state/men/2023.html,https://www.sports-reference.com/cbb/schools/mississippi-state/men/2023.html,https://www.sports-reference.com/cbb/schools/mississippi-state/men/2023-gamelogs.html
Missouri,/cbb/schools/missouri/men/2023.html,https://www.sports-reference.com/cbb/schools/missouri/men/2023.html,https://www.sports-reference.com/cbb/schools/missouri/men/2023-gamelogs.html
Montana State,/cbb/schools/montana-state/men/2023.html,https://www.sports-reference.com/cbb/schools/montana-state/men/2023.html,https://www.sports-reference.com/cbb/schools/montana-state/men/2023-gamelogs.html
NC State,/cbb/schools/north-carolina-state/men/2023.html,https://www.sports-reference.com/cbb/schools/north-carolina-state/men/2023.html,https://www.sports-reference.com/cbb/schools/north-carolina-state/men/2023-gamelogs.html
Nevada,/cbb/schools/nevada/men/2023.html,https://www.sports-reference.com/cbb/schools/nevada/men/2023.html,https://www.sports-reference.com/cbb/schools/nevada/men/2023-gamelogs.html
Northern Kentucky,/cbb/schools/northern-kentucky/men/2023.html,https://www.sports-reference.com/cbb/schools/northern-kentucky/men/2023.html,https://www.sports-reference.com/cbb/schools/northern-kentucky/men/2023-gamelogs.html
Northwestern,/cbb/schools/northwestern/men/2023.html,https://www.sports-reference.com/cbb/schools/northwestern/men/2023.html,https://www.sports-reference.com/cbb/schools/northwestern/men/2023-gamelogs.html
Oral Roberts,/cbb/schools/oral-roberts/men/2023.html,https://www.sports-reference.com/cbb/schools/oral-roberts/men/2023.html,https://www.sports-reference.com/cbb/schools/oral-roberts/men/2023-gamelogs.html
Penn State,/cbb/schools/penn-state/men/2023.html,https://www.sports-reference.com/cbb/schools/penn-state/men/2023.html,https://www.sports-reference.com/cbb/schools/penn-state/men/2023-gamelogs.html
Pitt,/cbb/schools/pittsburgh/men/2023.html,https://www.sports-reference.com/cbb/schools/pittsburgh/men/2023.html,https://www.sports-reference.com/cbb/schools/pittsburgh/men/2023-gamelogs.html
Princeton,/cbb/schools/princeton/men/2023.html,https://www.sports-reference.com/cbb/schools/princeton/men/2023.html,https://www.sports-reference.com/cbb/schools/princeton/men/2023-gamelogs.html
Providence,/cbb/schools/providence/men/2023.html,https://www.sports-reference.com/cbb/schools/providence/men/2023.html,https://www.sports-reference.com/cbb/schools/providence/men/2023-gamelogs.html
Purdue,/cbb/schools/purdue/men/2023.html,https://www.sports-reference.com/cbb/schools/purdue/men/2023.html,https://www.sports-reference.com/cbb/schools/purdue/men/2023-gamelogs.html
Saint Mary's,/cbb/schools/saint-marys-ca/men/2023.html,https://www.sports-reference.com/cbb/schools/saint-marys-ca/men/2023.html,https://www.sports-reference.com/cbb/schools/saint-marys-ca/men/2023-gamelogs.html
San Diego State,/cbb/schools/san-diego-state/men/2023.html,https://www.sports-reference.com/cbb/schools/san-diego-state/men/2023.html,https://www.sports-reference.com/cbb/schools/san-diego-state/men/2023-gamelogs.html
Southeast Missouri State,/cbb/schools/southeast-missouri-state/men/2023.html,https://www.sports-reference.com/cbb/schools/southeast-missouri-state/men/2023.html,https://www.sports-reference.com/cbb/schools/southeast-missouri-state/men/2023-gamelogs.html
TCU,/cbb/schools/texas-christian/men/2023.html,https://www.sports-reference.com/cbb/schools/texas-christian/men/2023.html,https://www.sports-reference.com/cbb/schools/texas-christian/men/2023-gamelogs.html
Tennessee,/cbb/schools/tennessee/men/2023.html,https://www.sports-reference.com/cbb/schools/tennessee/men/2023.html,https://www.sports-reference.com/cbb/schools/tennessee/men/2023-gamelogs.html
Texas,/cbb/schools/texas/men/2023.html,https://www.sports-reference.com/cbb/schools/texas/men/2023.html,https://www.sports-reference.com/cbb/schools/texas/men/2023-gamelogs.html
Texas A&M,/cbb/schools/texas-am/men/2023.html,https://www.sports-reference.com/cbb/schools/texas-am/men/2023.html,https://www.sports-reference.com/cbb/schools/texas-am/men/2023-gamelogs.html
Texas A&M-Corpus Christi,/cbb/schools/texas-am-corpus-christi/men/2023.html,https://www.sports-reference.com/cbb/schools/texas-am-corpus-christi/men/2023.html,https://www.sports-reference.com/cbb/schools/texas-am-corpus-christi/men/2023-gamelogs.html
Texas Southern,/cbb/schools/texas-southern/men/2023.html,https://www.sports-reference.com/cbb/schools/texas-southern/men/2023.html,https://www.sports-reference.com/cbb/schools/texas-southern/men/2023-gamelogs.html
UC Santa Barbara,/cbb/schools/california-santa-barbara/men/2023.html,https://www.sports-reference.com/cbb/schools/california-santa-barbara/men/2023.html,https://www.sports-reference.com/cbb/schools/california-santa-barbara/men/2023-gamelogs.html
UCLA,/cbb/schools/ucla/men/2023.html,https://www.sports-reference.com/cbb/schools/ucla/men/2023.html,https://www.sports-reference.com/cbb/schools/ucla/men/2023-gamelogs.html
UConn,/cbb/schools/connecticut/men/2023.html,https://www.sports-reference.com/cbb/schools/connecticut/men/2023.html,https://www.sports-reference.com/cbb/schools/connecticut/men/2023-gamelogs.html
UNC Asheville,/cbb/schools/north-carolina-asheville/men/2023.html,https://www.sports-reference.com/cbb/schools/north-carolina-asheville/men/2023.html,https://www.sports-reference.com/cbb/schools/north-carolina-asheville/men/2023-gamelogs.html
USC,/cbb/schools/southern-california/men/2023.html,https://www.sports-reference.com/cbb/schools/southern-california/men/2023.html,https://www.sports-reference.com/cbb/schools/southern-california/men/2023-gamelogs.html
Utah State,/cbb/schools/utah-state/men/2023.html,https://www.sports-reference.com/cbb/schools/utah-state/men/2023.html,https://www.sports-reference.com/cbb/schools/utah-state/men/2023-gamelogs.html
VCU,/cbb/schools/virginia-commonwealth/men/2023.html,https://www.sports-reference.com/cbb/schools/virginia-commonwealth/men/2023.html,https://www.sports-reference.com/cbb/schools/virginia-commonwealth/men/2023-gamelogs.html
Vermont,/cbb/schools/vermont/men/2023.html,https://www.sports-reference.com/cbb/schools/vermont/men/2023.html,https://www.sports-reference.com/cbb/schools/vermont/men/2023-gamelogs.html
Virginia,/cbb/schools/virginia/men/2023.html,https://www.sports-reference.com/cbb/schools/virginia/men/2023.html,https://www.sports-reference.com/cbb/schools/virginia/men/2023-gamelogs.html
West Virginia,/cbb/schools/west-virginia/men/2023.html,https://www.sports-reference.com/cbb/schools/west-virginia/men/2023.html,https://www.sports-reference.com/cbb/schools/west-virginia/men/2023-gamelogs.html
Xavier,/cbb/schools/xavier/men/2023.html,https://www.sports-reference.com/cbb/schools/xavier/men/2023.html,https://www.sports-reference.com/cbb/schools/xavier/men/2023-gamelogs.html
