season,game_id,game_date,game_url,team1_team,team1_fg,team1_fga,team1_fg_pct,team1_fg2,team1_fg2a,team1_fg2_pct,team1_fg3,team1_fg3a,team1_fg3_pct,team1_ft,team1_fta,team1_ft_pct,team1_orb,team1_drb,team1_trb,team1_ast,team1_stl,team1_blk,team1_tov,team1_pf,team1_pts,team2_team,team2_fg,team2_fga,team2_fg_pct,team2_fg2,team2_fg2a,team2_fg2_pct,team2_fg3,team2_fg3a,team2_fg3_pct,team2_ft,team2_fta,team2_ft_pct,team2_orb,team2_drb,team2_trb,team2_ast,team2_stl,team2_blk,team2_tov,team2_pf,team2_pts,team1_win,team2_win,winner,loser,score_margin,team1_point_margin,team2_point_margin,team1_raw_possessions,team2_raw_possessions,estimated_possessions,team1_offensive_rating,team2_offensive_rating,team1_defensive_rating,team2_defensive_rating,team1_efg_pct,team2_efg_pct,team1_true_shooting_pct,team2_true_shooting_pct,team1_ft_rate,team2_ft_rate,team1_fg3_attempt_rate,team2_fg3_attempt_rate,team1_tov_pct,team2_tov_pct,team1_forced_tov_pct,team2_forced_tov_pct,team1_orb_pct,team2_orb_pct,team1_drb_pct,team2_drb_pct,team1_opponent_fg_pct,team2_opponent_fg_pct,team1_opponent_fg2_pct,team2_opponent_fg2_pct,team1_opponent_fg3_pct,team2_opponent_fg3_pct,team1_opponent_efg_pct,team2_opponent_efg_pct,team1_opponent_ft_rate,team2_opponent_ft_rate,team1_points_allowed,team2_points_allowed
2023,2023-03-14-18-texas-am-corpus-christi,2023-03-14,https://www.sports-reference.com/cbb/boxscores/2023-03-14-18-texas-am-corpus-christi.html,Southeast Missouri State,27,57,0.474,19,31,0.613,8,26,0.308,9,20,0.45,6,22,28,17,11,2,12,31,71,Texas A&M–Corpus Christi,22,57,0.386,18,39,0.462,4,18,0.222,27,35,0.771,14,30,44,10,3,1,14,18,75,0,1,Texas A&M–Corpus Christi,Southeast Missouri State,4,-4,4,72.5,73.625,73.0625,97.17707442258342,102.65183917878528,102.65183917878528,97.17707442258342,0.543859649122807,0.42105263157894735,0.5338345864661654,0.5093378607809848,0.3508771929824561,0.6140350877192983,0.45614035087719296,0.3157894736842105,0.15286624203821655,0.15977175463623394,0.15977175463623394,0.15286624203821655,0.16666666666666666,0.3888888888888889,0.6111111111111112,0.8333333333333334,0.386,0.474,0.462,0.613,0.222,0.308,0.42105263157894735,0.543859649122807,0.6140350877192983,0.3508771929824561,75,71
2023,2023-03-14-21-mississippi-state,2023-03-14,https://www.sports-reference.com/cbb/boxscores/2023-03-14-21-mississippi-state.html,Pittsburgh,21,54,0.389,12,35,0.343,9,19,0.474,9,15,0.6,5,20,25,10,7,4,6,12,60,Mississippi State,24,63,0.381,18,40,0.45,6,23,0.261,5,7,0.714,14,28,42,14,1,4,14,18,59,1,0,Pittsburgh,Mississippi State,1,1,-1,62.125,66.325,64.225,93.4215648112106,91.86453873102374,91.86453873102374,93.4215648112106,0.4722222222222222,0.42857142857142855,0.49079754601226994,0.444779494911421,0.2777777777777778,0.1111111111111111,0.35185185185185186,0.36507936507936506,0.0893854748603352,0.17429193899782133,0.17429193899782133,0.0893854748603352,0.15151515151515152,0.4117647058823529,0.5882352941176471,0.8484848484848485,0.381,0.389,0.45,0.343,0.261,0.474,0.42857142857142855,0.4722222222222222,0.1111111111111111,0.2777777777777778,59,60
2023,2023-03-15-18-texas-southern,2023-03-15,https://www.sports-reference.com/cbb/boxscores/2023-03-15-18-texas-southern.html,FDU,23,46,0.5,12,19,0.632,11,27,0.407,27,31,0.871,5,25,30,13,8,2,14,15,84,Texas Southern,26,62,0.419,25,45,0.556,1,17,0.059,8,9,0.889,8,19,27,16,8,0,14,24,61,1,0,FDU,Texas Southern,23,23,-23,69.725,72.275,71,118.30985915492957,85.91549295774648,85.91549295774648,118.30985915492957,0.6195652173913043,0.4274193548387097,0.69164265129683,0.4602036967182195,0.6739130434782609,0.14516129032258066,0.5869565217391305,0.27419354838709675,0.1873536299765808,0.17440049828713794,0.17440049828713794,0.1873536299765808,0.20833333333333334,0.24242424242424243,0.7575757575757576,0.7916666666666666,0.419,0.5,0.556,0.632,0.059,0.407,0.4274193548387097,0.6195652173913043,0.14516129032258066,0.6739130434782609,61,84
2023,2023-03-15-21-arizona-state,2023-03-15,https://www.sports-reference.com/cbb/boxscores/2023-03-15-21-arizona-state.html,Nevada,25,52,0.481,14,31,0.452,11,21,0.524,12,14,0.857,5,18,23,19,3,0,11,18,73,Arizona State,35,55,0.636,24,34,0.706,11,21,0.524,17,24,0.708,4,22,26,21,5,4,5,17,98,0,1,Arizona State,Nevada,25,-25,25,64.65,67.4,66.025,110.56418023475956,148.4286255206361,148.4286255206361,110.56418023475956,0.5865384615384616,0.7363636363636363,0.6223358908780904,0.7379518072289156,0.2692307692307692,0.43636363636363634,0.40384615384615385,0.38181818181818183,0.15793251974156494,0.0700280112044818,0.0700280112044818,0.15793251974156494,0.18518518518518517,0.18181818181818182,0.8181818181818182,0.8148148148148148,0.636,0.481,0.706,0.452,0.524,0.524,0.7363636363636363,0.5865384615384616,0.43636363636363634,0.2692307692307692,98,73
2023,2023-03-16-12-maryland,2023-03-16,https://www.sports-reference.com/cbb/boxscores/2023-03-16-12-maryland.html,West Virginia,22,56,0.393,14,37,0.378,8,19,0.421,13,16,0.813,9,17,26,7,6,2,10,24,65,Maryland,23,45,0.511,17,27,0.63,6,18,0.333,15,22,0.682,8,17,25,12,7,5,13,19,67,0,1,Maryland,West Virginia,2,-2,2,64.6,60.45,62.525,103.95841663334666,107.15713714514195,107.15713714514195,103.95841663334666,0.4642857142857143,0.5777777777777777,0.511006289308176,0.6041478809738503,0.2857142857142857,0.4888888888888889,0.3392857142857143,0.4,0.13586956521739132,0.18991964937910882,0.18991964937910882,0.13586956521739132,0.34615384615384615,0.32,0.68,0.6538461538461539,0.511,0.393,0.63,0.378,0.333,0.421,0.5777777777777777,0.4642857142857143,0.4888888888888889,0.2857142857142857,67,65
2023,2023-03-16-12-virginia,2023-03-16,https://www.sports-reference.com/cbb/boxscores/2023-03-16-12-virginia.html,Furman,22,56,0.393,12,28,0.429,10,28,0.357,14,19,0.737,5,22,27,12,4,3,9,17,68,Virginia,24,54,0.444,22,42,0.524,2,12,0.167,17,22,0.773,8,27,35,13,4,7,8,13,67,1,0,Furman,Virginia,1,1,-1,69.025,64.45,66.73750000000001,101.89174002622212,100.39333208466003,100.39333208466003,101.89174002622212,0.48214285714285715,0.46296296296296297,0.522875816993464,0.5197827773467805,0.3392857142857143,0.4074074074074074,0.5,0.2222222222222222,0.121580547112462,0.11042097998619738,0.11042097998619738,0.121580547112462,0.15625,0.26666666666666666,0.7333333333333333,0.84375,0.444,0.393,0.524,0.429,0.167,0.357,0.46296296296296297,0.48214285714285715,0.4074074074074074,0.3392857142857143,67,68
2023,2023-03-16-13-missouri,2023-03-16,https://www.sports-reference.com/cbb/boxscores/2023-03-16-13-missouri.html,Utah State,28,59,0.475,24,35,0.686,4,24,0.167,5,8,0.625,8,23,31,12,5,2,14,11,65,Missouri,27,53,0.509,17,28,0.607,10,25,0.4,12,18,0.667,2,24,26,16,9,2,9,15,76,0,1,Missouri,Utah State,11,-11,11,68.8,68.55,68.675,94.64870768110667,110.66618128867856,110.66618128867856,94.64870768110667,0.5084745762711864,0.6037735849056604,0.517515923566879,0.6173842404549147,0.13559322033898305,0.33962264150943394,0.4067796610169492,0.4716981132075472,0.18229166666666669,0.1275690999291283,0.1275690999291283,0.18229166666666669,0.25,0.08,0.92,0.75,0.509,0.475,0.607,0.686,0.4,0.167,0.6037735849056604,0.5084745762711864,0.33962264150943394,0.13559322033898305,76,65
2023,2023-03-16-14-alabama,2023-03-16,https://www.sports-reference.com/cbb/boxscores/2023-03-16-14-alabama.html,Texas A&M–Corpus Christi,26,75,0.347,19,55,0.345,7,20,0.35,16,18,0.889,11,23,34,8,4,3,6,18,75,Alabama,33,70,0.471,18,37,0.486,15,33,0.455,15,23,0.652,14,32,46,21,4,8,8,18,96,0,1,Alabama,Texas A&M–Corpus Christi,21,-21,21,78.55,74.925,76.7375,97.73578758755498,125.10180811207037,125.10180811207037,97.73578758755498,0.3933333333333333,0.5785714285714286,0.4488330341113106,0.5931417979610751,0.24,0.32857142857142857,0.26666666666666666,0.4714285714285714,0.06700167504187605,0.08996345234748383,0.08996345234748383,0.06700167504187605,0.2558139534883721,0.3783783783783784,0.6216216216216216,0.7441860465116279,0.471,0.347,0.486,0.345,0.455,0.35,0.5785714285714286,0.3933333333333333,0.32857142857142857,0.24,96,75
2023,2023-03-16-14-kansas,2023-03-16,https://www.sports-reference.com/cbb/boxscores/2023-03-16-14-kansas.html,Howard,26,67,0.388,16,35,0.457,10,32,0.313,6,10,0.6,10,21,31,18,8,1,18,14,68,Kansas,38,73,0.521,29,51,0.569,9,22,0.409,11,13,0.846,14,23,37,22,13,7,12,11,96,0,1,Kansas,Howard,28,-28,28,79.75,77.175,78.4625,86.66560458817905,122.35144177154692,122.35144177154692,86.66560458817905,0.4626865671641791,0.5821917808219178,0.4738675958188153,0.6062519734764762,0.14925373134328357,0.1780821917808219,0.47761194029850745,0.3013698630136986,0.20055710306406685,0.13161502604880723,0.13161502604880723,0.20055710306406685,0.30303030303030304,0.4,0.6,0.696969696969697,0.521,0.388,0.569,0.457,0.409,0.313,0.5821917808219178,0.4626865671641791,0.1780821917808219,0.14925373134328357,96,68
2023,2023-03-16-15-san-diego-state,2023-03-16,https://www.sports-reference.com/cbb/boxscores/2023-03-16-15-san-diego-state.html,College of Charleston,18,56,0.321,13,32,0.406,5,24,0.208,16,19,0.842,8,23,31,9,9,2,10,18,57,San Diego State,24,56,0.429,20,40,0.5,4,16,0.25,11,18,0.611,6,31,37,13,4,7,14,18,63,0,1,San Diego State,College of Charleston,6,-6,6,67.025,72.55,69.7875,81.6765180010747,90.27404621171414,90.27404621171414,81.6765180010747,0.36607142857142855,0.4642857142857143,0.4382929642445213,0.48799380325329206,0.3392857142857143,0.32142857142857145,0.42857142857142855,0.2857142857142857,0.13328890369876706,0.17823042647994908,0.17823042647994908,0.13328890369876706,0.20512820512820512,0.20689655172413793,0.7931034482758621,0.7948717948717948,0.429,0.321,0.5,0.406,0.25,0.208,0.4642857142857143,0.36607142857142855,0.32142857142857145,0.3392857142857143,63,57
