Team,SOS,Rank,Opp Record,Opp Win Percent
Stanford,0.5509,63,587-458,0.5617
Clemson,0.5506,64,620-487,0.5601
Saint Mary's (CA),0.5504,65,560-420,0.5714
Utah,0.5496,66,574-454,0.5584
Georgia,0.5494,67,596-464,0.5623
Penn State,0.5485,68,581-454,0.5614
UNLV,0.5474,69,589-465,0.5588
Marquette,0.5469,70,572-451,0.5591
Missouri,0.5466,71,599-471,0.5598
Mississippi State,0.5465,72,580-469,0.5529
Providence,0.5455,73,574-455,0.5578
Seton Hall,0.5454,74,573-457,0.5563
USC,0.5428,75,548-451,0.5485
Washington,0.5426,76,581-477,0.5491
Texas A&M,0.5425,77,605-496,0.5495
LSU,0.5398,78,563-471,0.5445
George Washington,0.5387,79,582-465,0.5559
Rutgers,0.5386,80,595-493,0.5469
Nevada,0.5377,81,618-518,0.544
West Virginia,0.5376,82,612-519,0.5411
Memphis,0.5358,83,545-453,0.5461
Saint Louis,0.5358,84,582-475,0.5506
Air Force,0.5347,85,546-437,0.5554
South Carolina,0.5346,86,555-469,0.542
Oklahoma,0.534,87,641-551,0.5378
Wichita State,0.5339,88,581-480,0.5476
New Mexico,0.5334,89,602-508,0.5423
Duquesne,0.5333,90,526-437,0.5462
Gonzaga,0.5328,91,587-501,0.5395
Minnesota,0.5328,92,570-491,0.5372
Toledo,0.532,93,518-411,0.5576
Boston College,0.5312,94,524-441,0.543
Miami (FL),0.5311,95,591-514,0.5348
California,0.5298,96,552-477,0.5364
Georgia Tech,0.5293,97,528-450,0.5399
Butler,0.5292,98,539-470,0.5342
Evansville,0.5288,99,497-419,0.5426
George Mason,0.5282,100,525-450,0.5385
Saint Bonaventure,0.5282,101,543-463,0.5398
Washington State,0.5267,102,512-437,0.5395
San Jose State,0.5261,103,525-468,0.5287
Fresno State,0.5238,104,512-452,0.5311
Northern Iowa,0.5237,105,569-489,0.5378
Yale,0.5236,106,436-354,0.5519
Tulsa,0.5229,107,578-508,0.5322
Davidson,0.5221,108,520-464,0.5285
Oregon State,0.5219,109,534-465,0.5345
Wyoming,0.5216,110,513-460,0.5272
Middle Tennessee,0.5206,111,459-391,0.54
Campbell,0.5204,112,510-443,0.5352
Colorado State,0.5191,113,520-483,0.5184
Towson,0.5187,114,507-441,0.5348
Penn,0.5184,115,429-377,0.5323
FAU,0.5181,116,492-439,0.5285
Saint Joseph's,0.5179,117,546-497,0.5235
Loyola-Chicago,0.5168,118,534-487,0.523
DePaul,0.5164,119,517-484,0.5165
Illinois State,0.516,120,557-510,0.522
San Francisco,0.5156,121,510-463,0.5242
Tulane,0.5156,122,508-455,0.5275
Ohio,0.5153,123,469-418,0.5287
Hofstra,0.5145,124,511-469,0.5214
UIC,0.5131,125,520-470,0.5253
North Texas,0.5119,126,493-449,0.5234
Grand Canyon,0.5114,127,505-484,0.5106
Marshall,0.5106,128,492-440,0.5279
Drake,0.5093,129,494-457,0.5195
Charlotte,0.5089,130,514-475,0.5197
Princeton,0.5076,131,412-375,0.5235
Rhode Island,0.5076,132,497-471,0.5134
Murray State,0.5075,133,516-486,0.515
UTEP,0.5073,134,420-386,0.5211
Kent State,0.5072,135,487-448,0.5209
Bradley,0.5071,136,509-482,0.5136
Liberty,0.5069,137,468-439,0.516
Western Kentucky,0.5063,138,446-422,0.5138
Oakland,0.5063,139,487-439,0.5259
Charleston,0.5061,140,471-447,0.5131
Pepperdine,0.5057,141,467-441,0.5143
Troy,0.5048,142,497-465,0.5166
Akron,0.5047,143,492-472,0.5104
UMass,0.5044,144,475-446,0.5157
Portland,0.5044,145,488-467,0.511
Utah Valley,0.5043,146,448-421,0.5155
UNC Asheville,0.5042,147,443-394,0.5293
Southern Illinois,0.504,148,483-456,0.5144
UC Irvine,0.5035,149,500-465,0.5181
UTSA,0.5024,150,430-415,0.5089
Utah Tech,0.5022,151,456-426,0.517
Cornell,0.5016,152,365-350,0.5105
Western Michigan,0.5014,153,438-412,0.5153
Fordham,0.5012,154,454-439,0.5084
Kennesaw State,0.501,155,465-450,0.5082
Southern Utah,0.5006,156,423-404,0.5115
UC Riverside,0.5,157,462-439,0.5128
East Carolina,0.4997,158,461-446,0.5083
FIU,0.4994,159,427-413,0.5083
Sam Houston State,0.4993,160,451-449,0.5011
Indiana State,0.4989,161,461-447,0.5077
Elon,0.4985,162,446-436,0.5057
Loyola-Marymount,0.4985,163,467-458,0.5049
Seattle University,0.4979,164,495-496,0.4995
Winthrop,0.4976,165,468-432,0.52
UAB,0.4973,166,467-468,0.4995
Missouri State,0.4968,167,446-439,0.504
Cal State Fullerton,0.4965,168,472-466,0.5032
Pacific,0.4959,169,465-478,0.4931
Richmond,0.4957,170,469-483,0.4926
Rider,0.4957,171,435-421,0.5082
James Madison,0.4955,172,487-472,0.5078
New Mexico State,0.4955,173,418-415,0.5018
Arkansas State,0.4951,174,452-446,0.5033
Abilene Christian,0.4939,175,427-413,0.5083
Buffalo,0.4931,176,442-437,0.5028
Cal Poly,0.4928,177,457-458,0.4995
Gardner-Webb,0.4925,178,449-428,0.512
McNeese,0.4924,179,478-462,0.5085
Western Carolina,0.4919,180,427-413,0.5083
Belmont,0.4918,181,456-476,0.4893
UNCW,0.4914,182,467-475,0.4958
UTA,0.4913,183,422-424,0.4988
Merrimack,0.4911,184,500-499,0.5005
Cal State Northridge,0.4908,185,468-473,0.4973
Bowling Green,0.4894,186,416-431,0.4911
Eastern Michigan,0.4894,187,435-449,0.4921
Northeastern,0.4892,188,450-463,0.4929
North Florida,0.4887,189,453-440,0.5073
Green Bay,0.4886,190,443-452,0.495
Old Dominion,0.4885,191,470-485,0.4921
Furman,0.4885,192,471-459,0.5065
Eastern Kentucky,0.4885,193,445-437,0.5045
Rice,0.4882,194,428-446,0.4897
Monmouth,0.4882,195,475-500,0.4872
Jacksonville State,0.4879,196,406-418,0.4927
Central Michigan,0.4877,197,422-435,0.4924
Wright State,0.4877,198,472-477,0.4974
Dartmouth,0.4872,199,336-348,0.4912
Southern Miss,0.4868,200,474-496,0.4887
Quinnipiac,0.486,201,456-464,0.4957
San Diego,0.4852,202,451-484,0.4824
Valparaiso,0.4851,203,462-499,0.4807
Long Beach State,0.4834,204,431-463,0.4821
Saint Peter's,0.4831,205,412-420,0.4952
Columbia,0.4831,206,356-365,0.4938
William & Mary,0.4826,207,425-456,0.4824
Montana,0.4824,208,421-436,0.4912
Tarleton State,0.482,209,385-415,0.4813
Louisiana,0.4812,210,476-502,0.4867
Northern Illinois,0.4812,211,396-429,0.48
UC Davis,0.4808,212,439-476,0.4798
Sacramento State,0.4808,213,398-415,0.4895
UC Santa Barbara,0.4804,214,427-462,0.4803
Milwaukee,0.4803,215,438-465,0.485
Drexel,0.4789,216,451-495,0.4767
Coastal Carolina,0.4789,217,445-480,0.4811
Stony Brook,0.4789,218,417-459,0.476
UC San Diego,0.4787,219,451-493,0.4778
Miami (OH),0.4787,220,430-483,0.471
Niagara,0.4784,221,428-436,0.4954
California Baptist,0.4777,222,450-508,0.4697
Hampton,0.4776,223,424-456,0.4818
Delaware,0.4768,224,408-457,0.4717
Queens (NC),0.4756,225,485-526,0.4797
Louisiana Tech,0.4754,226,416-474,0.4674
Temple,0.4748,227,429-487,0.4683
UTRGV,0.4746,228,428-464,0.4798
Sacred Heart,0.4742,229,450-488,0.4797
Cleveland State,0.4738,230,413-458,0.4742
Lipscomb,0.4732,231,420-456,0.4795
Siena,0.4729,232,491-529,0.4814
Detroit,0.4728,233,408-459,0.4706
Texas A&M-Corpus Christi,0.4728,234,403-442,0.4769
Marist,0.4725,235,416-460,0.4749
Samford,0.4724,236,415-452,0.4787
Hawaii,0.4723,237,425-489,0.465
Georgia State,0.4723,238,415-477,0.4652
Tennessee State,0.4721,239,411-434,0.4864
North Carolina A&T,0.4714,240,387-438,0.4691
Harvard,0.4714,241,355-411,0.4634
ULM,0.4708,242,421-478,0.4683
Oral Roberts,0.4707,243,422-449,0.4845
East Texas A&M,0.4706,244,426-455,0.4835
Appalachian State,0.4703,245,416-474,0.4674
Northern Kentucky,0.4701,246,421-473,0.4709
South Alabama,0.4694,247,430-496,0.4644
Eastern Washington,0.4692,248,434-488,0.4707
Eastern Illinois,0.4692,249,413-443,0.4825
Cal State Bakersfield,0.4691,250,412-477,0.4634
Montana State,0.469,251,392-443,0.4695
Georgia Southern,0.4684,252,465-548,0.459
Mercer,0.4682,253,394-447,0.4685
South Dakota State,0.4678,254,407-443,0.4788
Fairfield,0.4675,255,449-505,0.4706
Manhattan,0.4667,256,423-481,0.4679
Nicholls,0.4664,257,435-495,0.4677
Canisius,0.4663,258,424-475,0.4716
Central Arkansas,0.4663,259,441-501,0.4682
Iona,0.4659,260,444-499,0.4708
Denver,0.4659,261,405-444,0.477
Brown,0.4658,262,315-372,0.4585
New Orleans,0.465,263,444-513,0.4639
Jacksonville,0.465,264,413-466,0.4699
East Tennessee State,0.4643,265,425-484,0.4675
Idaho State,0.4639,266,396-453,0.4664
Mount Saint Mary's,0.4638,267,425-497,0.461
Presbyterian College,0.4638,268,401-457,0.4674
South Carolina Upstate,0.4636,269,391-440,0.4705
North Dakota,0.4631,270,428-482,0.4703
Bucknell,0.463,271,457-514,0.4706
Texas State,0.4629,272,405-483,0.4561
UNCG,0.4625,273,419-486,0.463
Purdue Fort Wayne,0.4625,274,384-461,0.4544
Colgate,0.4622,275,431-491,0.4675
Northwestern State,0.4616,276,404-465,0.4649
FGCU,0.4615,277,428-499,0.4617
Bethune-Cookman,0.4605,278,442-504,0.4672
Southeast Missouri,0.4603,279,396-446,0.4703
Youngstown State,0.4601,280,385-464,0.4535
Incarnate Word,0.4598,281,379-437,0.4645
Bellarmine,0.4595,282,400-476,0.4566
High Point,0.4594,283,425-514,0.4526
Stetson,0.4583,284,414-490,0.458
Chattanooga,0.458,285,384-455,0.4577
American,0.4566,286,419-491,0.4604
Saint Francis (PA),0.4564,287,402-455,0.4691
Northern Arizona,0.4563,288,378-453,0.4549
Idaho,0.4562,289,419-510,0.451
Stephen F. Austin,0.4559,290,412-501,0.4513
Robert Morris,0.4556,291,401-498,0.4461
Ball State,0.4554,292,376-474,0.4424
Morehead State,0.4553,293,387-459,0.4574
IU Indianapolis,0.4552,294,392-481,0.449
Jackson State,0.4544,295,456-542,0.4569
Little Rock,0.4543,296,387-458,0.458
Lehigh,0.4538,297,449-525,0.461
UMKC,0.4534,298,372-447,0.4542
The Citadel,0.4531,299,383-472,0.448
Southeastern Louisiana,0.4528,300,392-485,0.447
Omaha,0.4525,301,372-452,0.4515
Tennessee Tech,0.4521,302,360-431,0.4551
Houston Christian,0.4521,303,396-478,0.4531
Portland State,0.4518,304,354-441,0.4453
Weber State,0.4508,305,381-474,0.4456
Lamar,0.4503,306,375-468,0.4448
Chicago State,0.4498,307,416-496,0.4561
Saint Thomas,0.4493,308,392-488,0.4455
Western Illinois,0.4486,309,360-437,0.4517
New Hampshire,0.4483,310,373-438,0.4599
Northern Colorado,0.4476,311,361-467,0.436
North Dakota State,0.4473,312,401-507,0.4416
VMI,0.4472,313,365-466,0.4392
Radford,0.4472,314,367-467,0.44
Army,0.447,315,399-486,0.4508
Lafayette,0.4469,316,411-512,0.4453
Arkansas-Pine Bluff,0.4467,317,406-505,0.4457
Bryant,0.4458,318,385-454,0.4589
Tennessee-Martin,0.4454,319,375-470,0.4438
Austin Peay,0.4451,320,373-483,0.4357
Charleston Southern,0.4444,321,360-469,0.4343
North Alabama,0.4436,322,358-465,0.435
UMass-Lowell,0.4433,323,393-479,0.4507
West Georgia,0.4431,324,383-494,0.4367
Wofford,0.4426,325,374-497,0.4294
Lindenwood,0.4422,326,368-466,0.4412
Southern,0.4408,327,403-520,0.4366
Texas Southern,0.4406,328,370-474,0.4384
Maine,0.4384,329,398-499,0.4437
Loyola-Maryland,0.4379,330,386-508,0.4318
Albany,0.437,331,358-470,0.4324
Coppin State,0.436,332,381-486,0.4394
NJIT,0.4359,333,404-516,0.4391
Boston University,0.4351,334,404-545,0.4257
Wagner,0.4343,335,356-458,0.4373
Holy Cross,0.4334,336,384-524,0.4229
Prairie View A&M,0.4334,337,417-560,0.4268
New Haven,0.4332,338,357-461,0.4364
LIU,0.4332,339,429-581,0.4248
South Dakota,0.4317,340,347-484,0.4176
Longwood,0.4313,341,346-476,0.4209
Florida A&M,0.4298,342,360-497,0.4201
Alcorn State,0.4292,343,402-561,0.4174
Fairleigh Dickinson,0.4288,344,359-486,0.4249
South Carolina State,0.4287,345,365-482,0.4309
Vermont,0.4286,346,383-521,0.4237
Southern Indiana,0.4271,347,326-458,0.4158
Howard,0.4271,348,383-503,0.4323
Navy,0.4263,349,387-557,0.41
Grambling State,0.4263,350,387-533,0.4207
North Carolina Central,0.4246,351,339-457,0.4259
Alabama State,0.4227,352,375-548,0.4063
Stonehill,0.4217,353,375-518,0.4199
Mercyhurst,0.4203,354,381-536,0.4155
Alabama A&M,0.419,355,358-520,0.4077
Mississippi Valley State,0.4182,356,385-570,0.4031
UMBC,0.4141,357,359-524,0.4066
Maryland Eastern Shore,0.4113,358,344-507,0.4042
Central Connecticut,0.4104,359,324-487,0.3995
Norfolk State,0.4101,360,324-484,0.401
Le Moyne,0.4099,361,356-540,0.3973
SIUE,0.4076,362,310-502,0.3818
Delaware State,0.4061,363,306-453,0.4032
Binghamton,0.4005,364,311-500,0.3835
Morgan State,0.3959,365,293-472,0.383
