Team,SOS,Rank,Opp Record,Opp Win Percent
Michigan,0.6247,1,872-450,0.6596
Kansas,0.6133,2,746-406,0.6476
Texas Tech,0.6113,3,722-398,0.6446
Arizona,0.6111,4,828-452,0.6469
Alabama,0.6098,5,747-424,0.6379
Duke,0.6066,6,788-444,0.6396
Arkansas,0.6047,7,775-443,0.6363
Auburn,0.6017,8,803-465,0.6333
Purdue,0.5999,9,806-480,0.6267
Illinois,0.5976,10,768-456,0.6275
Tennessee,0.5955,11,755-460,0.6214
Michigan State,0.5935,12,714-435,0.6214
Connecticut,0.5921,13,792-481,0.6222
Kentucky,0.5918,14,723-444,0.6195
Vanderbilt,0.5885,15,711-454,0.6103
Florida,0.5884,16,709-445,0.6144
North Carolina,0.5862,17,652-409,0.6145
BYU,0.585,18,700-446,0.6108
St. John's (NY),0.5844,19,719-466,0.6068
Houston,0.5813,20,720-485,0.5975
Wake Forest,0.577,21,676-447,0.602
North Carolina State,0.5767,22,646-441,0.5943
Louisville,0.5756,23,668-457,0.5938
Ohio State,0.5739,24,661-448,0.596
UCF,0.5737,25,632-432,0.594
SMU,0.5725,26,636-434,0.5944
Arizona State,0.5723,27,634-437,0.592
Wisconsin,0.5712,28,674-461,0.5938
Utah State,0.5684,29,642-446,0.5901
UCLA,0.5662,30,684-482,0.5866
Texas,0.5649,31,675-473,0.588
Iowa State,0.5647,32,697-504,0.5803
Baylor,0.5646,33,623-447,0.5822
Northwestern,0.5644,34,646-462,0.583
San Diego State,0.564,35,588-415,0.5862
Oregon,0.5631,36,599-437,0.5782
Oklahoma State,0.563,37,653-472,0.5804
Iowa,0.5627,38,693-502,0.5799
Virginia Tech,0.5626,39,591-426,0.5811
Florida State,0.5613,40,619-444,0.5823
Villanova,0.5609,41,607-448,0.5754
Nebraska,0.5601,42,658-482,0.5772
Dayton,0.5596,43,670-482,0.5816
VCU,0.5595,44,649-464,0.5831
Virginia,0.5595,45,657-487,0.5743
Ole Miss,0.5593,46,651-489,0.5711
Cincinnati,0.5587,47,607-450,0.5743
Kansas State,0.5584,48,593-443,0.5724
Notre Dame,0.5583,49,571-421,0.5756
La Salle,0.5578,50,571-405,0.585
Maryland,0.5569,51,616-464,0.5704
Georgetown,0.5565,52,615-447,0.5791
Syracuse,0.5557,53,591-437,0.5749
Boise State,0.5557,54,534-401,0.5711
Santa Clara,0.5548,55,601-445,0.5746
TCU,0.5544,56,641-481,0.5713
Colorado,0.5539,57,598-456,0.5674
Pittsburgh,0.5533,58,593-453,0.5669
Creighton,0.553,59,614-466,0.5685
Xavier,0.553,60,594-451,0.5684
South Florida,0.5526,61,589-430,0.578
Indiana,0.5516,62,588-454,0.5643
