season,game_id,game_date,game_url
2024,2024-03-28-00-iowa-state,2024-03-28,https://www.sports-reference.com/cbb/boxscores/2024-03-28-00-iowa-state.html
2024,2024-03-28-19-arizona,2024-03-28,https://www.sports-reference.com/cbb/boxscores/2024-03-28-19-arizona.html
2024,2024-03-28-19-connecticut,2024-03-28,https://www.sports-reference.com/cbb/boxscores/2024-03-28-19-connecticut.html
2024,2024-03-28-21-north-carolina,2024-03-28,https://www.sports-reference.com/cbb/boxscores/2024-03-28-21-north-carolina.html
2024,2024-03-29-00-tennessee,2024-03-29,https://www.sports-reference.com/cbb/boxscores/2024-03-29-00-tennessee.html
2024,2024-03-29-19-marquette,2024-03-29,https://www.sports-reference.com/cbb/boxscores/2024-03-29-19-marquette.html
2024,2024-03-29-19-purdue,2024-03-29,https://www.sports-reference.com/cbb/boxscores/2024-03-29-19-purdue.html
2024,2024-03-29-21-houston,2024-03-29,https://www.sports-reference.com/cbb/boxscores/2024-03-29-21-houston.html
2024,2024-03-30-00-connecticut,2024-03-30,https://www.sports-reference.com/cbb/boxscores/2024-03-30-00-connecticut.html
2024,2024-03-30-03-alabama,2024-03-30,https://www.sports-reference.com/cbb/boxscores/2024-03-30-03-alabama.html
2024,2024-03-31-14-purdue,2024-03-31,https://www.sports-reference.com/cbb/boxscores/2024-03-31-14-purdue.html
2024,2024-03-31-17-duke,2024-03-31,https://www.sports-reference.com/cbb/boxscores/2024-03-31-17-duke.html
2024,2024-04-06-01-connecticut,2024-04-06,https://www.sports-reference.com/cbb/boxscores/2024-04-06-01-connecticut.html
2024,2024-04-06-18-purdue,2024-04-06,https://www.sports-reference.com/cbb/boxscores/2024-04-06-18-purdue.html
2024,2024-04-08-21-purdue,2024-04-08,https://www.sports-reference.com/cbb/boxscores/2024-04-08-21-purdue.html
