season,team,tournament_finish,finish_weight,games_played,wins,losses,first_four_games,main_bracket_games,main_bracket_wins,avg_estimated_possessions,avg_fg,avg_fga,avg_fg_pct,avg_fg2,avg_fg2a,avg_fg2_pct,avg_fg3,avg_fg3a,avg_fg3_pct,avg_ft,avg_fta,avg_ft_pct,avg_orb,avg_drb,avg_trb,avg_ast,avg_stl,avg_blk,avg_tov,avg_pf,avg_pts,avg_point_margin,avg_raw_possessions,avg_offensive_rating,avg_defensive_rating,avg_efg_pct,avg_true_shooting_pct,avg_ft_rate,avg_fg3_attempt_rate,avg_tov_pct,avg_forced_tov_pct,avg_orb_pct,avg_drb_pct,avg_opponent_fg_pct,avg_opponent_fg2_pct,avg_opponent_fg3_pct,avg_opponent_efg_pct,avg_opponent_ft_rate,avg_points_allowed,sd_defensive_rating,sd_points_allowed
2012,Cincinnati,Sweet 16,1,3,2,1,0,3,2,67.15416666666667,24,55,0.434,18.333333333333332,37,0.49100000000000005,5.666666666666667,18,0.304,10.666666666666666,15.666666666666666,0.6503333333333333,8.666666666666666,22.333333333333332,31,12.666666666666666,7.333333333333333,4.666666666666667,13.666666666666666,18.333333333333332,64.33333333333333,-1,67.44166666666666,95.84835028889898,96.9329856204402,0.4858979015334947,0.516216591799543,0.29134786117836964,0.3273002421307506,0.17908786903359883,0.1714993626540865,0.2804597701149425,0.7031746031746031,0.4043333333333333,0.4106666666666667,0.3913333333333333,0.46861737677527154,0.34258563074352544,65.33333333333333,16.842575873242975,13.650396819628847
2012,Indiana,Sweet 16,1,3,2,1,0,3,2,68.75833333333333,30.666666666666668,56.333333333333336,0.5456666666666666,24.666666666666668,41.666666666666664,0.5876666666666667,6,14.666666666666666,0.42600000000000005,10,12.666666666666666,0.7943333333333333,7.666666666666667,19.666666666666668,27.333333333333332,14.666666666666666,7,1.3333333333333333,14,17.333333333333332,77.33333333333333,1,68.68333333333334,112.3292844349743,109.93854014729735,0.6007783145464305,0.6237071473672627,0.22356414385399892,0.261406333870102,0.18802994006473453,0.15236444432022864,0.30631038647342995,0.6960858585858586,0.4796666666666667,0.5406666666666666,0.37766666666666665,0.5325767916815849,0.33675893603055257,76.33333333333333,23.613769216453225,22.368132093076824
2012,Marquette,Sweet 16,1,3,2,1,0,3,2,74.2,23.666666666666668,62,0.38166666666666665,17.333333333333332,43.333333333333336,0.4,6.333333333333333,18.666666666666668,0.3343333333333333,15.666666666666666,21.666666666666668,0.72,10.333333333333334,29,39.333333333333336,13.666666666666666,7.333333333333333,3.3333333333333335,12.333333333333334,16,69.33333333333333,6.333333333333333,74.29166666666666,92.79616943516095,84.95967561548963,0.4315850815850816,0.4776596067856688,0.3508935508935509,0.29961149961149963,0.14483365017192387,0.17453838357584336,0.26040172166427544,0.7569767441860465,0.36566666666666664,0.428,0.2723333333333333,0.4147593081411503,0.2570476752801704,63,11.391349464518024,8.660254037844387
2012,Michigan State,Sweet 16,1,3,2,1,0,3,2,63.854166666666664,26.333333333333332,54.333333333333336,0.4723333333333333,22.333333333333332,41,0.5103333333333333,4,13.333333333333334,0.32366666666666666,9.333333333333334,12.666666666666666,0.7436666666666667,8.333333333333334,26,34.333333333333336,15,5.333333333333333,2.6666666666666665,12.333333333333334,17,66,4.333333333333333,64.35000000000001,102.43522610980102,96.55292071582372,0.5113284444212468,0.539638266277157,0.24893870591714945,0.2594385580319084,0.17211207572158,0.12376021379717009,0.28641251221896386,0.8080357142857143,0.39166666666666666,0.4073333333333333,0.38066666666666665,0.46840166369578135,0.3703267973856209,61.666666666666664,4.119159115677647,5.033222956847166
2012,NC State,Sweet 16,1,3,2,1,0,3,2,68,23.333333333333332,58,0.413,18,43,0.41733333333333333,5.333333333333333,15,0.362,15.333333333333334,23,0.6816666666666666,13,22.666666666666668,35.666666666666664,11.333333333333334,4.666666666666667,4,11.333333333333334,14.666666666666666,67.33333333333333,4.666666666666667,67.25833333333333,99.1807120901369,92.35392317469434,0.4589169804367401,0.495676005849614,0.408010610817332,0.2536739781177968,0.14040953538154505,0.13767128419070201,0.3289784745551823,0.7330043859649122,0.388,0.45166666666666666,0.24633333333333332,0.43854384308368155,0.2917805100182149,62.666666666666664,6.6459700701946725,2.516611478423583
2012,Ohio,Sweet 16,1,3,2,1,0,3,2,65.73333333333333,20.666666666666668,52.333333333333336,0.41033333333333333,11.666666666666666,30.333333333333332,0.3983333333333333,9,22,0.4166666666666667,13.666666666666666,16.666666666666668,0.839,5.333333333333333,19.333333333333332,24.666666666666668,13.333333333333334,9.333333333333334,2,10,17.666666666666668,64,1,64.91666666666667,100.13168249325423,96.93554435519842,0.4966153510208538,0.5452437968266423,0.3631400807948466,0.41380063325690575,0.1417043653068267,0.17909577072797478,0.17490421455938698,0.6325611325611326,0.414,0.5023333333333333,0.25166666666666665,0.4608633717329369,0.3286593170651142,63,7.414631122780712,8.888194417315589
2012,Wisconsin,Sweet 16,1,3,2,1,0,3,2,56.75416666666667,22.333333333333332,50.666666666666664,0.442,11,24.333333333333332,0.4523333333333333,11.333333333333334,26.333333333333332,0.44933333333333336,9.333333333333334,13,0.6593333333333333,8,19.333333333333332,27.333333333333332,14.333333333333334,3,3.6666666666666665,8,14.333333333333334,65.33333333333333,8.666666666666666,56.84166666666667,115.2457213193641,100.51351919338086,0.5546176046176046,0.5753808664164564,0.2620619459905174,0.5156179138321995,0.12260177564884585,0.13764085923129826,0.3034167764602547,0.7673992673992673,0.45633333333333337,0.5003333333333334,0.384,0.5020216227101386,0.2835494975048299,56.666666666666664,18.798243232839628,7.505553499465135
2012,Xavier,Sweet 16,1,3,2,1,0,3,2,64.77083333333333,23.333333333333332,51.333333333333336,0.45766666666666667,18.333333333333332,38,0.4826666666666667,5,13.333333333333334,0.389,17.333333333333332,24,0.7243333333333334,9.333333333333334,21.333333333333332,30.666666666666668,9.666666666666666,5,3.6666666666666665,11,14.666666666666666,69,3.6666666666666665,64.4,106.89185110545232,101.15952627501446,0.507144861311528,0.5519685989477003,0.47703222703222703,0.25763588263588266,0.1492431874819973,0.14264146381263737,0.3222912353347136,0.7153761214630779,0.449,0.5236666666666666,0.29933333333333334,0.502078298424633,0.2472625014918248,65.33333333333333,13.51884297489834,8.736894948054104
2012,Baylor,Elite Eight,2,4,3,1,0,4,3,68.278125,26.25,59.25,0.445,19.25,42,0.46149999999999997,7,17.25,0.39225,13.75,17.75,0.78025,10.75,20.75,31.5,15,6.75,3.5,12,19.25,73.25,4.5,68.93125,107.51529861794552,100.37015661029022,0.5042937120445344,0.5431592025349257,0.302088604925776,0.29475581983805665,0.1509756425142145,0.16226922579630143,0.3750085251491901,0.7595376121463078,0.45825,0.5295000000000001,0.3275,0.5132837301587302,0.5098225957049486,68.75,8.74900159202164,9.776672917374976
2012,Florida,Elite Eight,2,4,3,1,0,4,3,66.653125,26,53.25,0.49075,18.75,28.75,0.6555,7.25,24.5,0.2975,13.5,18.75,0.72525,8.5,28.25,36.75,14,4.75,4,12.25,13,72.75,16.5,65.90625,109.34025644309939,84.40938681450902,0.5595285683829017,0.5860167346598815,0.3554225295810681,0.45913948406353267,0.16517263319882425,0.12290751093223047,0.29662698412698413,0.7975270585526053,0.35350000000000004,0.41125,0.24875,0.3929425184744334,0.2341646828348956,56.25,17.78049049777847,11.786291472158096
