team,games,wins,losses,team_game_score,opp_team_game_score,fg,fga,fg_pct,fg2,fg2a,fg2_pct,fg3,fg3a,fg3_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf
Akron,31,21,10,74.6774193548387,66.2258064516129,26.322580645161292,57.32258064516129,0.45806451612903226,18.096774193548388,32.774193548387096,0.5514516129032259,8.225806451612904,24.548387096774192,0.3361290322580645,0.5292903225806451,13.806451612903226,19,0.7329354838709677,9,23.612903225806452,32.61290322580645,13.32258064516129,5.806451612903226,2.774193548387097,10.483870967741936,16.548387096774192,24.35483870967742,56.54838709677419,0.43116129032258066,17.93548387096774,35.41935483870968,0.5109677419354839,6.419354838709677,21.129032258064516,0.30338709677419357,0.4880967741935484,11.096774193548388,16.29032258064516,0.6580967741935484,7.709677419354839,21.419354838709676,29.129032258064516,11.612903225806452,6.096774193548387,2.4193548387096775,10.870967741935484,17.29032258064516
Alabama,31,21,10,90.83870967741936,80.38709677419355,30.838709677419356,64.58064516129032,0.47974193548387095,19.612903225806452,34.12903225806452,0.5766451612903226,11.225806451612904,30.451612903225808,0.36829032258064515,0.5673870967741935,17.93548387096774,22.806451612903224,0.7821935483870968,11.129032258064516,25.129032258064516,36.25806451612903,16.129032258064516,7.387096774193548,4.161290322580645,11.935483870967742,19.70967741935484,27.483870967741936,62.74193548387097,0.4405806451612903,20.129032258064516,39.61290322580645,0.5079354838709678,7.354838709677419,23.129032258064516,0.32361290322580644,0.49987096774193546,18.06451612903226,24.483870967741936,0.7322903225806452,9.806451612903226,21.64516129032258,31.451612903225808,12.580645161290322,7.483870967741935,4.354838709677419,11.419354838709678,19.967741935483872
Arizona,31,24,7,89.45161290322581,73.16129032258064,32.16129032258065,65.3225806451613,0.4948064516129032,24.225806451612904,44.12903225806452,0.5543870967741935,7.935483870967742,21.193548387096776,0.37429032258064515,0.5557741935483871,17.193548387096776,23.741935483870968,0.7212580645161291,11.741935483870968,27.70967741935484,39.45161290322581,19.032258064516128,8.290322580645162,3.3870967741935485,11.612903225806452,16.451612903225808,26.677419354838708,62.806451612903224,0.42561290322580647,18.612903225806452,38.87096774193548,0.4791290322580645,8.064516129032258,23.93548387096774,0.34061290322580645,0.49012903225806453,11.741935483870968,16.516129032258064,0.7060645161290322,7.064516129032258,21.258064516129032,28.322580645161292,14.096774193548388,6.967741935483871,3.5483870967741935,12.806451612903226,19.225806451612904
Auburn,31,24,7,83.48387096774194,68.54838709677419,28.806451612903224,60.903225806451616,0.4725161290322581,20.677419354838708,37.74193548387097,0.5510322580645162,8.129032258064516,23.161290322580644,0.34980645161290325,0.5391290322580645,17.741935483870968,23.516129032258064,0.7561612903225806,9.96774193548387,24.387096774193548,34.354838709677416,18.06451612903226,7.483870967741935,6,10.193548387096774,19.096774193548388,22.483870967741936,58,0.38764516129032256,16.387096774193548,38.064516129032256,0.4302258064516129,6.096774193548387,19.93548387096774,0.3060322580645161,0.44006451612903225,17.483870967741936,23.580645161290324,0.7327741935483871,9.774193548387096,21.225806451612904,31,9.67741935483871,6.516129032258065,3.161290322580645,12.129032258064516,19.161290322580644
BYU,32,23,9,82.3125,69.5625,29.53125,63.46875,0.4656875,18.1875,31.34375,0.58,11.34375,32.125,0.35390625,0.55525,11.90625,16.1875,0.7165625,10.1875,26.1875,36.375,18.71875,6,3.0625,10.375,17.625,25.09375,59.125,0.42675,18.78125,39,0.48965625,6.3125,20.125,0.31321875,0.4805625,13.0625,18.75,0.7085625,7,22.125,29.125,11.875,6.03125,2.25,10.6875,15.25
Baylor,31,22,9,81.54838709677419,71.54838709677419,28,57.29032258064516,0.4887741935483871,19.322580645161292,35.483870967741936,0.5458064516129032,8.67741935483871,21.806451612903224,0.3888064516129032,0.5665483870967742,16.870967741935484,22.967741935483872,0.7287096774193549,9.580645161290322,22.096774193548388,31.677419354838708,15,6.774193548387097,3.193548387096774,11.225806451612904,16.677419354838708,26,57.064516129032256,0.4569354838709677,19.161290322580644,36.70967741935484,0.5229354838709678,6.838709677419355,20.35483870967742,0.33661290322580645,0.5173225806451613,12.709677419354838,17.516129032258064,0.7193548387096774,7.709677419354839,18.70967741935484,26.419354838709676,13.580645161290322,6.806451612903226,3.3870967741935485,11.32258064516129,19.322580645161292
Boise State,31,22,9,76.12903225806451,67.25806451612904,26.29032258064516,57.354838709677416,0.45922580645161293,18.35483870967742,34.54838709677419,0.537,7.935483870967742,22.806451612903224,0.34935483870967743,0.5288387096774193,15.612903225806452,21.258064516129032,0.7339354838709677,9.838709677419354,24,33.83870967741935,12.483870967741936,5.774193548387097,2.2903225806451615,10.483870967741936,16.612903225806452,24.096774193548388,55.03225806451613,0.4391935483870968,17.677419354838708,34.516129032258064,0.5113548387096774,6.419354838709677,20.516129032258064,0.3068064516129032,0.49770967741935485,12.64516129032258,17.451612903225808,0.7183870967741935,6.129032258064516,21,27.129032258064516,11.67741935483871,5.645161290322581,3.6451612903225805,10.67741935483871,17.70967741935484
Clemson,32,21,11,77.40625,71.3125,27.4375,58.65625,0.46759375000000003,19.09375,35.0625,0.5446875,8.34375,23.59375,0.3544375,0.5387500000000001,14.1875,17.96875,0.79190625,8.03125,25.875,33.90625,14.65625,4.5,3.9375,9.75,15.78125,24.71875,59.15625,0.41921875,16.5625,35.15625,0.47109375,8.15625,24,0.33553125,0.48815625,13.71875,18.4375,0.75028125,7.5,22.75,30.25,10.90625,6.09375,2.375,8.8125,15.875
Colgate,34,25,9,71.5,63.23529411764706,26.558823529411764,56.529411764705884,0.4702352941176471,18.705882352941178,34.794117647058826,0.5355588235294118,7.852941176470588,21.735294117647058,0.356,0.5391470588235294,10.529411764705882,15.470588235294118,0.6678235294117647,7.176470588235294,26.441176470588236,33.61764705882353,15.147058823529411,6.382352941176471,3.5,10.029411764705882,13.411764705882353,23.558823529411764,57.73529411764706,0.40805882352941175,16.705882352941178,34.73529411764706,0.48144117647058826,6.852941176470588,23,0.2987941176470588,0.46755882352941175,9.264705882352942,13.852941176470589,0.6459705882352941,7.323529411764706,22.676470588235293,30,12.558823529411764,5.647058823529412,2.4705882352941178,10.794117647058824,14.323529411764707
College of Charleston,34,27,7,80.47058823529412,72.52941176470588,28.647058823529413,64.70588235294117,0.4423529411764706,18.11764705882353,34.14705882352941,0.5279411764705882,10.529411764705882,30.558823529411764,0.34652941176470586,0.5241470588235294,12.647058823529411,17.558823529411764,0.7218235294117648,11.264705882352942,24.823529411764707,36.088235294117645,15.294117647058824,6.205882352941177,3.088235294117647,9.529411764705882,15.764705882352942,26.558823529411764,60.35294117647059,0.4431176470588235,19.029411764705884,37.970588235294116,0.5047941176470588,7.529411764705882,22.38235294117647,0.3358235294117647,0.5060588235294118,11.882352941176471,16.794117647058822,0.7154705882352941,7.852941176470588,23.470588235294116,31.323529411764707,11.470588235294118,6.147058823529412,3.323529411764706,10.911764705882353,16.323529411764707
