season,game_id,game_date,game_url,team1_team,team1_fg,team1_fga,team1_fg_pct,team1_fg2,team1_fg2a,team1_fg2_pct,team1_fg3,team1_fg3a,team1_fg3_pct,team1_ft,team1_fta,team1_ft_pct,team1_orb,team1_drb,team1_trb,team1_ast,team1_stl,team1_blk,team1_tov,team1_pf,team1_pts,team2_team,team2_fg,team2_fga,team2_fg_pct,team2_fg2,team2_fg2a,team2_fg2_pct,team2_fg3,team2_fg3a,team2_fg3_pct,team2_ft,team2_fta,team2_ft_pct,team2_orb,team2_drb,team2_trb,team2_ast,team2_stl,team2_blk,team2_tov,team2_pf,team2_pts,team1_win,team2_win,winner,loser,score_margin,team1_point_margin,team2_point_margin,team1_raw_possessions,team2_raw_possessions,estimated_possessions,team1_offensive_rating,team2_offensive_rating,team1_defensive_rating,team2_defensive_rating,team1_efg_pct,team2_efg_pct,team1_true_shooting_pct,team2_true_shooting_pct,team1_ft_rate,team2_ft_rate,team1_fg3_attempt_rate,team2_fg3_attempt_rate,team1_tov_pct,team2_tov_pct,team1_forced_tov_pct,team2_forced_tov_pct,team1_orb_pct,team2_orb_pct,team1_drb_pct,team2_drb_pct,team1_opponent_fg_pct,team2_opponent_fg_pct,team1_opponent_fg2_pct,team2_opponent_fg2_pct,team1_opponent_fg3_pct,team2_opponent_fg3_pct,team1_opponent_efg_pct,team2_opponent_efg_pct,team1_opponent_ft_rate,team2_opponent_ft_rate,team1_points_allowed,team2_points_allowed
2012,2012-03-15-gonzaga,2012-03-15,https://www.sports-reference.com/cbb/boxscores/2012-03-15-gonzaga.html,West Virginia,16,49,0.327,13,32,0.406,3,17,0.176,19,28,0.679,10,18,28,10,2,3,9,17,54,Gonzaga,28,50,0.56,19,33,0.576,9,17,0.529,12,16,0.75,5,25,30,15,9,2,10,25,77,0,1,Gonzaga,West Virginia,23,-23,23,61.3,62.6,61.95,87.16707021791767,124.29378531073444,124.29378531073444,87.16707021791767,0.35714285714285715,0.65,0.4333868378812199,0.6684027777777778,0.5714285714285714,0.32,0.3469387755102041,0.34,0.12622720897615708,0.14792899408284024,0.14792899408284024,0.12622720897615708,0.2857142857142857,0.21739130434782608,0.782608695652174,0.7142857142857143,0.56,0.327,0.576,0.406,0.529,0.176,0.65,0.35714285714285715,0.32,0.5714285714285714,77,54
2012,2012-03-15-harvard,2012-03-15,https://www.sports-reference.com/cbb/boxscores/2012-03-15-harvard.html,Vanderbilt,25,46,0.543,17,28,0.607,8,18,0.444,21,30,0.7,10,25,35,13,8,5,16,18,79,Harvard,25,56,0.446,16,32,0.5,9,24,0.375,11,14,0.786,8,14,22,14,4,0,10,21,70,1,0,Vanderbilt,Harvard,9,9,-9,66.25,64.65,65.45,120.70282658517952,106.951871657754,106.951871657754,120.70282658517952,0.6304347826086957,0.5267857142857143,0.6556016597510373,0.5586592178770949,0.6521739130434783,0.25,0.391304347826087,0.42857142857142855,0.2098360655737705,0.13764624913971094,0.13764624913971094,0.2098360655737705,0.4166666666666667,0.24242424242424243,0.7575757575757576,0.5833333333333334,0.446,0.543,0.5,0.607,0.375,0.444,0.5267857142857143,0.6304347826086957,0.25,0.6521739130434783,70,79
2012,2012-03-15-indiana,2012-03-15,https://www.sports-reference.com/cbb/boxscores/2012-03-15-indiana.html,New Mexico State,27,49,0.551,23,37,0.622,4,12,0.333,8,10,0.8,6,16,22,7,5,6,17,13,66,Indiana,32,54,0.593,25,41,0.61,7,13,0.538,8,10,0.8,7,14,21,15,12,0,12,12,79,0,1,Indiana,New Mexico State,13,-13,13,64.75,63.75,64.25,102.7237354085603,122.95719844357976,122.95719844357976,102.7237354085603,0.5918367346938775,0.6574074074074074,0.6139534883720931,0.6723404255319149,0.20408163265306123,0.18518518518518515,0.24489795918367344,0.24074074074074073,0.24028268551236748,0.1696113074204947,0.1696113074204947,0.24028268551236748,0.3,0.30434782608695654,0.6956521739130435,0.7,0.593,0.551,0.61,0.622,0.538,0.333,0.6574074074074074,0.5918367346938775,0.18518518518518515,0.20408163265306123,79,66
2012,2012-03-15-kansas-state,2012-03-15,https://www.sports-reference.com/cbb/boxscores/2012-03-15-kansas-state.html,Southern Mississippi,22,60,0.367,14,37,0.378,8,23,0.348,12,17,0.706,11,20,31,8,8,0,10,25,64,Kansas State,21,42,0.5,19,30,0.633,2,12,0.167,26,34,0.765,5,26,31,12,4,7,11,18,70,0,1,Kansas State,Southern Mississippi,6,-6,6,67.075,64.15,65.61250000000001,97.54238902648122,106.68698799771384,106.68698799771384,97.54238902648122,0.43333333333333335,0.5238095238095238,0.4700697759823724,0.6018916595012898,0.2833333333333333,0.8095238095238095,0.38333333333333336,0.2857142857142857,0.1280819724623759,0.15907447577729572,0.15907447577729572,0.1280819724623759,0.2972972972972973,0.2,0.8,0.7027027027027027,0.5,0.367,0.633,0.378,0.167,0.348,0.5238095238095238,0.43333333333333335,0.8095238095238095,0.2833333333333333,70,64
2012,2012-03-15-kentucky,2012-03-15,https://www.sports-reference.com/cbb/boxscores/2012-03-15-kentucky.html,Western Kentucky,25,63,0.397,19,48,0.396,6,15,0.4,10,16,0.625,7,20,27,10,6,2,10,19,66,Kentucky,30,54,0.556,27,44,0.614,3,10,0.3,18,25,0.72,9,30,39,14,2,9,12,14,81,0,1,Kentucky,Western Kentucky,15,-15,15,73.6,68.875,71.2375,92.64783295314967,113.70415862432006,113.70415862432006,92.64783295314967,0.4444444444444444,0.5833333333333334,0.4674220963172805,0.6148007590132827,0.25396825396825395,0.46296296296296297,0.23809523809523808,0.18518518518518515,0.1240694789081886,0.15409309791332262,0.15409309791332262,0.1240694789081886,0.1891891891891892,0.3103448275862069,0.6896551724137931,0.8108108108108109,0.556,0.397,0.614,0.396,0.3,0.4,0.5833333333333334,0.4444444444444444,0.46296296296296297,0.25396825396825395,81,66
2012,2012-03-15-long-beach-state,2012-03-15,https://www.sports-reference.com/cbb/boxscores/2012-03-15-long-beach-state.html,New Mexico,25,50,0.5,18,29,0.621,7,21,0.333,18,24,0.75,7,23,30,19,6,7,14,16,75,Long Beach State,28,65,0.431,24,49,0.49,4,16,0.25,8,14,0.571,14,20,34,13,6,2,15,19,68,1,0,New Mexico,Long Beach State,7,7,-7,68.4,72.65,70.525,106.3452676355902,96.41970932293512,96.41970932293512,106.3452676355902,0.57,0.4615384615384616,0.6107491856677525,0.4745289602233077,0.48,0.2153846153846154,0.42,0.24615384615384617,0.18567639257294427,0.17311021350259664,0.17311021350259664,0.18567639257294427,0.25925925925925924,0.3783783783783784,0.6216216216216216,0.7407407407407407,0.431,0.5,0.49,0.621,0.25,0.333,0.4615384615384616,0.57,0.2153846153846154,0.48,68,75
2012,2012-03-15-loyola-md,2012-03-15,https://www.sports-reference.com/cbb/boxscores/2012-03-15-loyola-md.html,Ohio State,26,58,0.448,21,44,0.477,5,14,0.357,21,26,0.808,14,32,46,11,6,8,18,19,78,Loyola (MD),19,54,0.352,15,40,0.375,4,14,0.286,17,22,0.773,4,19,23,9,6,8,12,24,59,1,0,Ohio State,Loyola (MD),19,19,-19,74.35,72.45,73.4,106.26702997275204,80.38147138964578,80.38147138964578,106.26702997275204,0.4913793103448276,0.3888888888888889,0.5543710021321963,0.4577191621411947,0.4482758620689655,0.4074074074074074,0.2413793103448276,0.25925925925925924,0.2037351443123939,0.15696533682145192,0.15696533682145192,0.2037351443123939,0.42424242424242425,0.1111111111111111,0.8888888888888888,0.5757575757575758,0.352,0.448,0.375,0.477,0.286,0.357,0.3888888888888889,0.4913793103448276,0.4074074074074074,0.4482758620689655,59,78
2012,2012-03-15-montana,2012-03-15,https://www.sports-reference.com/cbb/boxscores/2012-03-15-montana.html,Wisconsin,23,48,0.479,13,29,0.448,10,19,0.526,17,19,0.895,8,24,32,15,3,8,10,15,73,Montana,18,47,0.383,15,38,0.395,3,9,0.333,10,15,0.667,4,15,19,8,8,2,8,16,49,1,0,Wisconsin,Montana,24,24,-24,59.025,58.125,58.575,124.62654716175842,83.65343576611181,83.65343576611181,124.62654716175842,0.5833333333333334,0.4148936170212766,0.6400701446733889,0.45265588914549654,0.3958333333333333,0.3191489361702128,0.3958333333333333,0.1914893617021277,0.14919806042521447,0.12877263581488935,0.12877263581488935,0.14919806042521447,0.34782608695652173,0.14285714285714285,0.8571428571428571,0.6521739130434783,0.383,0.479,0.395,0.448,0.333,0.526,0.4148936170212766,0.5833333333333334,0.3191489361702128,0.3958333333333333,49,73
2012,2012-03-15-north-carolina-asheville,2012-03-15,https://www.sports-reference.com/cbb/boxscores/2012-03-15-north-carolina-asheville.html,Syracuse,25,56,0.446,20,33,0.606,5,23,0.217,17,24,0.708,15,18,33,16,5,5,8,15,72,UNC Asheville,21,49,0.429,12,26,0.462,9,23,0.391,14,16,0.875,10,21,31,17,3,0,12,22,65,1,0,Syracuse,UNC Asheville,7,7,-7,60.4,58.6,59.5,121.00840336134452,109.2436974789916,109.2436974789916,121.00840336134452,0.49107142857142855,0.5204081632653061,0.5341246290801186,0.5742049469964664,0.42857142857142855,0.32653061224489793,0.4107142857142857,0.4693877551020408,0.10610079575596816,0.17492711370262393,0.17492711370262393,0.10610079575596816,0.4166666666666667,0.35714285714285715,0.6428571428571429,0.5833333333333334,0.429,0.446,0.462,0.606,0.391,0.217,0.5204081632653061,0.49107142857142855,0.32653061224489793,0.42857142857142855,65,72
2012,2012-03-15-virginia-commonwealth,2012-03-15,https://www.sports-reference.com/cbb/boxscores/2012-03-15-virginia-commonwealth.html,Wichita State,24,62,0.387,19,46,0.413,5,16,0.313,6,10,0.6,11,22,33,13,8,4,12,12,59,Virginia Commonwealth,25,59,0.424,19,36,0.528,6,23,0.261,6,9,0.667,8,23,31,9,8,3,11,12,62,0,1,Virginia Commonwealth,Wichita State,3,-3,3,67.75,66.275,67.0125,88.0432755083007,92.52005222906172,92.52005222906172,88.0432755083007,0.4274193548387097,0.4745762711864407,0.4419475655430712,0.48992493085736866,0.16129032258064516,0.15254237288135594,0.25806451612903225,0.3898305084745763,0.1523809523809524,0.1480982834062605,0.1480982834062605,0.1523809523809524,0.3235294117647059,0.26666666666666666,0.7333333333333333,0.6764705882352942,0.424,0.387,0.528,0.413,0.261,0.313,0.4745762711864407,0.4274193548387097,0.15254237288135594,0.16129032258064516,62,59
